pid,GN,Description,sig126,sig127N,sig127C,sig128N,sig128C,sig129N,sig129C,sig130N,sig130C,sig131N,sig131C
Q8K039,NA,Uncharacterized protein KIAA1143 homolog OS=Mus musculus OX=10090 PE=1 SV=1,53007.03619,50460.0741,49247.84344,49632.26633,54580.85297,52199.60192,50469.79925,51660.78206,38793.99403,49510.38128,51581.93919
Q8VC96,1300017J02Rik,Uncharacterized protein OS=Mus musculus OX=10090 GN=1300017J02Rik PE=2 SV=1,3034806.264,3282672.926,2024929.078,1991133.114,3953439.618,3886340.359,3559475.991,3621203.587,2629099.13,2825495.044,2943318.59
A0A1W2P6X0,1500009L16Rik,RIKEN cDNA 1500009L16 gene (Fragment) OS=Mus musculus OX=10090 GN=1500009L16Rik PE=1 SV=1,197859.4657,163580.347,235501.861,253803.1819,197440.3141,214457.1628,237975.4924,214141.1431,131942.7364,201787.9725,228338.4751
P0C913,NA,Overexpressed in colon carcinoma 1 protein homolog OS=Mus musculus OX=10090 PE=3 SV=1,172775.5414,130970.2724,204014.8494,175080.9592,145765.4649,157444.9584,202504.1397,160424.9606,138647.9324,172424.7771,192044.3153
Q8WUR0,NA,Protein C19orf12 homolog OS=Mus musculus OX=10090 PE=1 SV=1,12149.55738,7235.267549,10005.86805,10570.84739,13065.80033,10210.11797,9657.925046,8399.517498,17581.54136,10451.81355,11049.25386
Q14AA6,1700009N14Rik,GTP-binding nuclear protein Ran OS=Mus musculus OX=10090 GN=1700009N14Rik PE=1 SV=1,576356.6835,493016.1688,570689.3894,646670.3231,573476.5545,567983.8608,553145.3727,596963.708,641785.0378,591669.7705,578518.3084
Q9DA82,1700018B24Rik,Enhancer of rudimentary homolog OS=Mus musculus OX=10090 GN=1700018B24Rik PE=2 SV=1,236185.9913,273866.5911,243981.7178,255727.3724,221122.3846,240184.4744,241053.2477,226259.601,160564.5402,220338.3162,216411.0289
Q3TJL3,1700025G04Rik,Uncharacterized protein OS=Mus musculus OX=10090 GN=1700025G04Rik PE=1 SV=1,94067.02699,116464.5627,100122.7278,103911.6516,97521.44247,104332.7769,100188.6488,101549.1315,96878.05476,99903.69696,109264.942
F8WIU1,1700037H04Rik,RIKEN cDNA 1700037H04 gene OS=Mus musculus OX=10090 GN=1700037H04Rik PE=1 SV=1,47043.86655,39558.81555,35591.3997,50303.55555,50551.03204,41602.44344,38171.90923,50116.64244,46626.78328,40691.80178,42886.55114
Q3V2K0,1700071K01Rik,Prohibitin OS=Mus musculus OX=10090 GN=1700071K01Rik PE=2 SV=1,877807.2877,1149548.06,1021016.451,289187.4638,890940.6633,957333.1055,960383.1576,490044.5057,751918.3333,1027624.718,817379.4574
Q9CSS6,1810009A15Rik,Uncharacterized protein (Fragment) OS=Mus musculus OX=10090 GN=1810009A15Rik PE=2 SV=1,14751.84625,11505.21246,13408.80242,16825.57328,12494.36856,16601.08807,16153.31901,16448.37619,12876.81495,16216.0757,13350.0559
Q9CPN7,1810009J06Rik,RIKEN cDNA 1810009J06 gene OS=Mus musculus OX=10090 GN=1810009J06Rik PE=2 SV=1,62226.3201,31474.45804,22370.97928,23933.1575,39652.70801,37199.50302,50682.20871,35527.13755,26625.58197,30880.11388,30900.87652
Q9D927,1810009N02Rik,Uncharacterized protein OS=Mus musculus OX=10090 GN=1810009N02Rik PE=2 SV=1,68952.08019,67492.42137,78248.05457,75498.7632,72328.48833,74973.30673,65840.62618,69888.25447,81944.80197,78670.00132,77764.95587
A2BDN9,1810030O07Rik,Uncharacterized protein OS=Mus musculus OX=10090 GN=1810030O07Rik PE=2 SV=1,97111.70537,101596.0287,84784.51964,91661.3673,95382.83684,99095.91524,78019.68488,98001.42041,98233.74741,105637.6049,90637.99676
Q9D7Y7,2210010C04Rik,Peptidase S1 domain-containing protein OS=Mus musculus OX=10090 GN=2210010C04Rik PE=2 SV=1,44348.22851,35636.98725,47806.8391,38691.7282,43826.53055,37250.18654,40559.52466,42919.68018,60197.88247,34153.83951,38756.21314
G3X8U3,2210016F16Rik,Queuosine salvage protein OS=Mus musculus OX=10090 GN=2210016F16Rik PE=1 SV=1,244899.8913,254500.0103,197299.4251,257253.4962,245488.3577,247573.3868,195646.181,245955.3072,253329.7286,248022.8366,235955.6703
A0A0R4J099,2210016L21Rik,Protein CUSTOS OS=Mus musculus OX=10090 GN=2210016L21Rik PE=1 SV=1,59454.81857,66967.32456,81973.04111,76241.81462,59010.27508,67834.6508,79726.406,67749.4419,48480.82009,71061.06222,69588.77282
Q9D7T5,2210409E12Rik,Ubiquitin-like domain-containing protein OS=Mus musculus OX=10090 GN=2210409E12Rik PE=2 SV=1,212845.2381,136826.8906,206117.5412,204144.5933,195750.9428,190804.1246,203587.2838,183673.9252,219424.6078,208153.5195,229943.4784
G5E8E3,2310022A10Rik,RIKEN cDNA 2310022A10 gene OS=Mus musculus OX=10090 GN=2310022A10Rik PE=1 SV=1,20957.66676,19522.95049,20504.96682,18748.31915,15001.61735,17531.18861,19291.07501,20192.77538,12257.12797,22237.25702,20475.66826
Q3UM69,2310061I04Rik,Uncharacterized protein (Fragment) OS=Mus musculus OX=10090 GN=2310061I04Rik PE=2 SV=1,192150.8632,191220.3632,249112.2417,223103.6469,225618.5099,203895.1248,242097.94,200387.2172,352075.3097,222588.9135,217669.1545
Q6PDX4,2310061I04Rik,2310061I04Rik protein (Fragment) OS=Mus musculus OX=10090 GN=2310061I04Rik PE=2 SV=1,106522.354,109634.3127,161320.0579,117375.3297,124181.0517,126757.3048,148340.6042,104670.4763,206168.2268,122035.7274,112509.2956
Q3T9M2,2410002F23Rik,Uncharacterized protein OS=Mus musculus OX=10090 GN=2410002F23Rik PE=2 SV=1,30474.8941,28547.98397,34893.55372,26651.38148,24568.51737,27915.86017,35218.50121,35439.19851,47352.56586,25142.67486,26449.27206
Q3TE80,2410002F23Rik,RIKEN cDNA 2410002F23 gene OS=Mus musculus OX=10090 GN=2410002F23Rik PE=1 SV=1,55325.83409,51150.40602,63350.7631,52435.23385,45805.00592,51489.77562,62923.76659,62778.70023,65375.42359,47455.38601,52765.93536
D6RCI4,2410004B18Rik,RIKEN cDNA 2410004B18 gene OS=Mus musculus OX=10090 GN=2410004B18Rik PE=1 SV=1,23066.25344,23323.58316,22239.85414,20182.71702,25222.85087,21563.60263,23662.59466,21749.22424,20555.23565,20631.31502,23874.52393
A0A087WQ28,2410004B18Rik,RIKEN cDNA 2410004B18 gene (Fragment) OS=Mus musculus OX=10090 GN=2410004B18Rik PE=1 SV=1,88725.08767,77886.32084,100159.5568,85598.57843,92364.62561,83358.89904,88369.24091,77560.57372,98057.0807,79771.6082,87971.04154
Q9CWU4,NA,UPF0690 protein C1orf52 homolog OS=Mus musculus OX=10090 PE=1 SV=1,67193.48424,65564.44864,69787.13826,59244.43087,73895.34553,63838.93783,71160.6075,60909.1405,61556.28341,61236.08481,68345.50102
A0A087WSJ3,2510002D24Rik,RIKEN cDNA 2510002D24 gene OS=Mus musculus OX=10090 GN=2510002D24Rik PE=4 SV=1,24759.4631,25286.96448,32189.75267,37197.12932,30600.64675,37448.95394,39553.4626,34337.54637,19175.23171,32886.1367,34541.32269
Q3TU38,2610005L07Rik,Uncharacterized protein OS=Mus musculus OX=10090 GN=2610005L07Rik PE=2 SV=1,125734.0552,181334.5753,126093.0206,120022.5619,123251.1687,127352.5961,116989.8897,114793.2965,132150.4934,136585.4939,111666.6854
B1AV75,2610301B20Rik,RIKEN cDNA 2610301B20 gene OS=Mus musculus OX=10090 GN=2610301B20Rik PE=1 SV=1,308202.6856,316844.9834,271557.1307,327937.0574,325102.5027,299939.4051,280154.5701,313628.1144,274663.0906,322304.7872,297871.7258
A0PJA0,2610507B11Rik,2610507B11Rik protein (Fragment) OS=Mus musculus OX=10090 GN=2610507B11Rik PE=2 SV=1,21605.30882,16486.48986,16010.29071,15666.94969,29902.61374,12954.12673,16655.78507,15198.63099,50511.61602,14280.52683,19650.7365
Q3UXZ8,2700079J08Rik,Uncharacterized protein (Fragment) OS=Mus musculus OX=10090 GN=2700079J08Rik PE=2 SV=1,155196.3693,143680.8266,107125.6709,92897.82187,131804.1594,134536.2858,114286.0965,122640.5044,76145.49125,154000.7385,118766.0413
Q9CZH1,2700097O09Rik,Uncharacterized protein OS=Mus musculus OX=10090 GN=2700097O09Rik PE=2 SV=1,10975.86297,10595.40373,9882.019831,8754.767862,10879.09267,10862.81731,9775.040772,10880.78015,10300.81534,11720.87553,10268.91819
Q9CSU7,2810004N23Rik,Uncharacterized protein (Fragment) OS=Mus musculus OX=10090 GN=2810004N23Rik PE=2 SV=1,20504.46834,20461.65,15754.42876,17423.83416,16390.22044,20533.39829,19038.37885,17746.12826,18985.58621,19580.17311,17240.94551
Q6NSU2,2810408A11Rik,RIKEN cDNA 2810408A11 gene OS=Mus musculus OX=10090 GN=2810408A11Rik PE=1 SV=1,41076.15637,52190.99232,33581.05141,58914.33421,49489.48001,42439.34834,29759.81148,45100.61979,33614.73986,39086.54813,38800.89578
B7ZMV2,2810459M11Rik,Uncharacterized protein OS=Mus musculus OX=10090 GN=2810459M11Rik PE=2 SV=1,70943.90972,78808.46841,79408.31849,83388.89111,79983.06986,83675.70345,76969.19549,71834.25067,83322.76326,80776.82712,74260.69233
A0A1B0GR85,2900026A02Rik,RIKEN cDNA 2900026A02 gene OS=Mus musculus OX=10090 GN=2900026A02Rik PE=1 SV=1,2718381.152,3417613.376,2431865.335,2340287.876,2775859.947,3044565.553,2469132.888,2563369.499,2694429.207,3209567.698,2918345.683
A0A1D5RLN6,2900026A02Rik,RIKEN cDNA 2900026A02 gene OS=Mus musculus OX=10090 GN=2900026A02Rik PE=1 SV=1,2696869.671,3691451.964,2441090.748,2422633.96,2691242.377,3063867.218,2476431.434,2552109.036,2443745.155,3335418.286,2854218.936
Q922W7,2900073G15Rik,2900073G15Rik protein (Fragment) OS=Mus musculus OX=10090 GN=2900073G15Rik PE=2 SV=1,759818.774,640608.0714,635927.4713,374210.7643,721793.0359,499997.8456,657177.7462,354537.8876,669928.5721,523004.8309,532010.6746
Q9CXD2,NA,Uncharacterized protein OS=Mus musculus OX=10090 PE=2 SV=1,697506.8036,624457.0971,634607.688,404634.2707,714694.4794,512552.7079,620930.5341,376937.6154,667374.5315,528331.6936,536958.0581
Q8CEV2,3000002C10Rik,Gp_dh_C domain-containing protein OS=Mus musculus OX=10090 GN=3000002C10Rik PE=2 SV=1,6127294.397,4920777.827,5101308.066,5260812.717,5754877.702,5493314.904,5275283.491,5734273.02,5128767.312,5616124.075,5637495.002
A0A0G2JEY4,3110082I17Rik,RIKEN cDNA 3110082I17 gene OS=Mus musculus OX=10090 GN=3110082I17Rik PE=1 SV=1,29232.68603,19466.8943,31226.60473,27577.05349,27552.85573,27213.81944,30638.59019,28041.21655,21940.94783,29022.73428,29629.96546
Q9CXL3,NA,Uncharacterized protein C7orf50 homolog OS=Mus musculus OX=10090 PE=1 SV=3,38348.59884,28629.42632,41035.2467,35837.63046,38098.59483,37484.41239,41708.41431,38470.29895,32562.427,38876.98133,39366.69166
D3Z1F7,4833439L19Rik,Putative monooxygenase p33MONOX OS=Mus musculus OX=10090 GN=4833439L19Rik PE=1 SV=1,192782.865,194073.6113,206155.8711,168686.4239,197353.6408,196888.3443,211295.5939,175768.464,183795.4851,225276.0838,194930.9349
Q3V0A7,4930402H24Rik,RIKEN cDNA 4930402H24 gene OS=Mus musculus OX=10090 GN=4930402H24Rik PE=1 SV=1,46793.74649,41100.34458,39510.96392,34149.49608,45398.96627,47030.28685,41563.32443,41533.94378,51714.10275,49840.43282,45688.00533
A0A1W2P7E2,4930430F08Rik,RIKEN cDNA 4930430F08 gene (Fragment) OS=Mus musculus OX=10090 GN=4930430F08Rik PE=1 SV=1,12998.09429,15928.98984,9706.016924,13503.08975,14008.297,15440.31202,12595.52033,13456.25851,11543.37899,14119.00714,15463.92461
Q8BHN7,NA,Uncharacterized protein C12orf29 homolog OS=Mus musculus OX=10090 PE=2 SV=1,24567.27516,29200.80123,19653.33719,23816.86546,24832.7553,28448.0595,22387.75799,23953.79933,24318.33261,27748.90385,27421.97808
C0IQA7,4930544G11Rik,Testis specific expressed protein 5 OS=Mus musculus OX=10090 GN=4930544G11Rik PE=2 SV=1,416781.1669,381992.9719,307804.5666,415969.7626,362764.1817,331734.0538,314642.0989,373237.213,392875.8879,322349.1262,375611.7647
A0A1L1SSF8,4931406C07Rik,RIKEN cDNA 4931406C07 gene OS=Mus musculus OX=10090 GN=4931406C07Rik PE=1 SV=1,399713.0486,424600.7738,398872.1187,409239.6156,393077.3547,367580.0161,374065.8035,369787.5571,468285.4146,379904.6626,394002.268
A0A1L1ST86,4931406C07Rik,RIKEN cDNA 4931406C07 gene OS=Mus musculus OX=10090 GN=4931406C07Rik PE=1 SV=1,113802.9841,84959.78773,68919.53123,78653.10159,117064.0867,84381.10134,77556.8891,83614.23473,125708.3552,81282.00016,95693.87977
Q91V76,NA,Ester hydrolase C11orf54 homolog OS=Mus musculus OX=10090 PE=1 SV=1,406415.2187,422555.682,389031.1941,407713.2352,402232.6329,370029.531,372505.9931,369487.0267,466776.8343,380347.0361,391765.3575
A0A1D5RMC4,4932438A13Rik,RIKEN cDNA 4932438A13 gene (Fragment) OS=Mus musculus OX=10090 GN=4932438A13Rik PE=1 SV=1,131330.1389,129785.6005,143470.4103,136936.9004,131460.2586,137866.2404,148944.8689,144221.9446,128336.5374,141633.1589,139535.8579
F6RPM4,4932438A13Rik,RIKEN cDNA 4932438A13 gene (Fragment) OS=Mus musculus OX=10090 GN=4932438A13Rik PE=1 SV=1,286073.2051,255790.3221,322105.1973,303070.3244,274641.921,298853.5207,333767.7344,320021.0528,250522.5992,287784.5262,308425.3492
F6YAT5,4932438A13Rik,RIKEN cDNA 4932438A13 gene (Fragment) OS=Mus musculus OX=10090 GN=4932438A13Rik PE=1 SV=1,281874.9369,268716.5856,319326.8191,298690.8992,272465.9558,302328.887,336988.5223,325345.231,238612.4196,292402.8295,305900.7729
Q3V053,4933427I04Rik,Uncharacterized protein OS=Mus musculus OX=10090 GN=4933427I04Rik PE=2 SV=1,440950.2195,508679.4852,414620.4265,394194.7121,463381.0036,566211.9812,457228.107,426297.2425,734797.5435,542569.3513,450955.5144
H7BX33,4933434E20Rik,RIKEN cDNA 4933434E20 gene OS=Mus musculus OX=10090 GN=4933434E20Rik PE=1 SV=1,85937.79701,94879.09365,89471.70335,82701.43707,86048.77631,90229.53328,95714.63231,86998.1376,80341.74837,87581.70249,87176.13051
Q8R092,NA,Protein C1orf43 homolog OS=Mus musculus OX=10090 PE=2 SV=1,85937.79701,94879.09365,89471.70335,82701.43707,86048.77631,90229.53328,95714.63231,86998.1376,80341.74837,87581.70249,87176.13051
B1APX2,5031439G07Rik,RIKEN cDNA 5031439G07 gene OS=Mus musculus OX=10090 GN=5031439G07Rik PE=1 SV=1,132922.6821,109752.5484,79628.0793,95276.89132,127632.9149,97876.32658,83030.04437,86981.57003,119452.5537,103025.866,93000.71188
J3KMQ6,5730455P16Rik,RIKEN cDNA 5730455P16 gene OS=Mus musculus OX=10090 GN=5730455P16Rik PE=1 SV=1,74021.05742,59751.10413,67264.84293,73234.37438,76032.64923,75111.34253,66197.76534,72337.15985,82896.46225,73081.24768,82296.27184
Q8C1G6,6030426L16Rik,KRAB domain-containing protein OS=Mus musculus OX=10090 GN=6030426L16Rik PE=2 SV=1,117414.4298,136069.1907,134390.9111,132916.6174,105201.8598,113286.1337,113736.7051,126546.275,113034.8963,128337.4078,118315.9431
A0A2I3BRJ4,6030458C11Rik,RIKEN cDNA 6030458C11 gene OS=Mus musculus OX=10090 GN=6030458C11Rik PE=1 SV=1,31302.67123,35206.88068,35798.66774,40443.23562,32903.82444,38044.52677,35569.04247,38902.25311,36246.78927,35252.83248,34275.85648
Q8BGC1,NA,UPF0489 protein C5orf22 homolog OS=Mus musculus OX=10090 PE=1 SV=1,30786.18137,33607.51203,38917.70918,43195.00882,32699.48588,37000.55148,38564.91293,39520.67907,28344.32548,36931.55315,36054.25133
Q3TA40,6430548M08Rik,RIKEN cDNA 6430548M08 gene OS=Mus musculus OX=10090 GN=6430548M08Rik PE=1 SV=1,503491.1011,452349.359,718341.2165,670876.4813,498607.9265,574338.2205,775243.428,692381.8565,524208.6281,581626.09,675036.3249
Q5DTU4,6530402F18Rik,MKIAA1857 protein (Fragment) OS=Mus musculus OX=10090 GN=6530402F18Rik PE=2 SV=1,34974.76602,36254.7085,33777.89944,35326.2311,26428.8739,32656.79283,43617.37737,31560.69252,32031.83568,29654.98276,33742.51629
Q0VAW6,8030462N17Rik,RIKEN cDNA 8030462N17 gene OS=Mus musculus OX=10090 GN=8030462N17Rik PE=1 SV=1,36938.82295,35467.61788,45118.41594,41286.42884,40368.87822,33639.33082,45544.05563,37549.88391,29859.87133,35123.64198,38952.06432
Q66JV7,NA,Uncharacterized protein C8orf58 homolog OS=Mus musculus OX=10090 PE=2 SV=2,210937.2463,159151.7494,167869.1265,125754.1465,194789.5758,141314.1221,168822.2111,123079.1864,164010.1142,155179.2209,164714.4091
Q19LI2,A1bg,Alpha-1B-glycoprotein OS=Mus musculus OX=10090 GN=A1bg PE=1 SV=1,265098.9164,122136.5943,360367.4855,333736.1978,264843.6911,311008.8916,348512.6939,370123.6283,314584.0263,335175.8051,374082.6501
Q6GQT1,A2m,Alpha-2-macroglobulin-P OS=Mus musculus OX=10090 GN=A2m PE=2 SV=2,163609.6114,238751.8057,223163.1643,207003.7206,457939.8931,621131.3785,646095.673,715221.3565,220902.9542,193596.1307,369983.7003
E9PUH0,A430005L14Rik,RIKEN cDNA A430005L14 gene OS=Mus musculus OX=10090 GN=A430005L14Rik PE=1 SV=1,10536.93257,9137.354063,11040.1806,12759.13401,10328.21107,11212.96359,10573.04962,10325.86991,14551.07514,10465.92733,11758.87338
Q80WR5,NA,UPF0688 protein C1orf174 homolog OS=Mus musculus OX=10090 PE=1 SV=1,10536.93257,9137.354063,11040.1806,12759.13401,10328.21107,11212.96359,10573.04962,10325.86991,14551.07514,10465.92733,11758.87338
A0A338P6Q3,A630089N07Rik,RIKEN cDNA A630089N07 gene (Fragment) OS=Mus musculus OX=10090 GN=A630089N07Rik PE=1 SV=1,26672.27751,20920.45172,27585.67172,29011.75174,25198.37125,31132.67053,32993.33795,34655.51935,23919.60706,31400.6353,27680.24377
Q8BHJ4,A730013G03Rik,Uncharacterized protein OS=Mus musculus OX=10090 GN=A730013G03Rik PE=2 SV=1,160838.5346,194142.05,186296.2,184162.9007,163512.5384,170450.7344,215136.9596,193385.6271,134532.6923,176840.6353,184471.7066
Q78ED5,ACHE,Acetylcholinesterase (Fragment) OS=Mus musculus OX=10090 GN=ACHE PE=4 SV=1,91428.07688,51618.13422,43469.04808,90050.81783,121301.6198,43034.27506,40880.46034,79992.60929,86482.56882,44620.24302,61779.95244
I3ITR1,AK157302,cDNA sequence AK157302 OS=Mus musculus OX=10090 GN=AK157302 PE=4 SV=1,302748.6756,325172.0763,424688.205,365544.7881,310765.1694,327518.7773,413131.9257,367802.7334,266032.909,332433.3274,356819.982
Q9WUD7,ANK3,Brain-specific ankyrin-G (Fragment) OS=Mus musculus OX=10090 GN=ANK3 PE=4 SV=1,113479.3012,51611.62734,105618.6226,63780.37078,113051.476,54895.06067,122214.7686,70065.26053,78126.71044,47438.71324,81111.96062
Q61320,APRT,APRT protein (Fragment) OS=Mus musculus OX=10090 GN=APRT PE=4 SV=1,284587.1771,347987.4109,189932.4012,204455.032,256323.835,334256.2692,202375.3826,241285.0683,196440.2018,333618.1806,288049.1888
A0A2X0SSA9,ARHGAP1,ARHGAP1 (Fragment) OS=Mus musculus OX=10090 GN=ARHGAP1 PE=4 SV=1,877236.4988,780145.7173,1029770.544,1019908.45,835260.8424,911595.3168,985524.6257,1040452.192,821519.6747,883654.9773,999107.4311
A0A2X0SYS9,ARHGAP18,ARHGAP18 (Fragment) OS=Mus musculus OX=10090 GN=ARHGAP18 PE=4 SV=1,27980.49136,21993.40624,28495.41305,23824.55641,26280.7811,24745.66348,28599.23309,29629.51518,16745.69305,29120.31349,27516.10422
A0A2X0U2D8,ARHGAP30,ARHGAP30 (Fragment) OS=Mus musculus OX=10090 GN=ARHGAP30 PE=4 SV=1,9004.430798,5888.126037,9922.560219,10061.87824,13928.55376,12671.20394,13968.11675,12155.33052,15373.61299,9392.730723,11621.36845
A0A2X0SFM8,ARHGAP33,ARHGAP33 (Fragment) OS=Mus musculus OX=10090 GN=ARHGAP33 PE=3 SV=1,56468.58965,48036.48643,70491.03592,56678.89211,63165.73908,54867.53134,83796.32495,75587.74103,55040.90333,50499.10193,63819.3331
A0A2X0U4H9,ARHGAP6,ARHGAP6 (Fragment) OS=Mus musculus OX=10090 GN=ARHGAP6 PE=4 SV=1,39012.23932,28074.92408,25257.33895,44311.56825,41212.87026,35262.5467,24125.46571,50067.17035,47508.25882,33474.96719,32363.59869
A0A2X0SFE2,ARHGEF2,Guanine nucleotide exchange factor H1 (Fragment) OS=Mus musculus OX=10090 GN=ARHGEF2 PE=4 SV=1,746396.0885,740289.4861,815122.5187,664679.7616,739730.3168,723737.4964,789571.2732,709288.2305,730617.2613,791138.0893,757714.2855
Q9EQ66,ASPH,Aspartly beta-hydroxylase OS=Mus musculus OX=10090 GN=ASPH PE=3 SV=1,124791.0241,125551.929,118546.6485,115424.9164,122297.9798,122502.8793,110097.2264,112022.6101,116012.8471,121356.1229,119813.8373
A0A6M8TZJ8,ATP6,ATP synthase subunit a OS=Mus musculus OX=10090 GN=ATP6 PE=3 SV=1,192072.7729,143666.1951,250798.5694,249344.3148,200122.2553,242499.5657,219607.3305,236427.9505,199216.7611,219322.6027,220823.1723
A0A6M8U8I5,ATP8,ATP synthase protein 8 OS=Mus musculus OX=10090 GN=ATP8 PE=3 SV=1,196871.0857,251358.7838,230009.4092,252094.6783,208847.1864,283282.2279,221926.9524,239563.161,140809.5768,225509.0411,256222.4126
A3R404,ATP8,ATP synthase protein 8 OS=Mus musculus OX=10090 GN=ATP8 PE=3 SV=1,216527.1003,238327.3221,219497.5844,239526.8642,208719.2555,256467.0901,211877.6141,232735.2067,212713.7296,236707.2744,230562.2135
Z4YK56,AU040320,Expressed sequence AU040320 OS=Mus musculus OX=10090 GN=AU040320 PE=1 SV=1,134709.9262,155210.7362,173146.749,184887.5142,133344.1838,162677.5267,186379.9965,194173.1225,134443.3032,165164.2542,162406.4869
A0A0J9YVH3,AU041133,Expressed sequence AU041133 OS=Mus musculus OX=10090 GN=AU041133 PE=4 SV=1,41556.67263,22173.20753,45365.27744,46183.93679,37428.4953,41293.04055,39145.11921,50394.09764,26377.39978,40155.41602,48419.65622
Q91WD4,NA,UPF0415 protein C7orf25 homolog OS=Mus musculus OX=10090 PE=2 SV=1,20190.64803,17892.23488,20469.91713,20882.35908,18305.37755,19605.73184,20076.50086,21264.27594,19615.53973,18672.84508,19406.9972
Q8C1D4,AW551984,Uncharacterized protein OS=Mus musculus OX=10090 GN=AW551984 PE=2 SV=1,179770.3975,189802.2526,145286.0912,201188.0435,182174.8054,164363.5903,135030.734,183889.3536,176066.9902,170874.3567,182933.2571
P58742,Aaas,Aladin OS=Mus musculus OX=10090 GN=Aaas PE=1 SV=1,79366.33962,70875.81353,83283.40911,88940.31214,83829.89278,86362.14304,82692.23188,86965.2318,93349.98969,84181.61817,88597.59534
Q9D2R0,Aacs,Acetoacetyl-CoA synthetase OS=Mus musculus OX=10090 GN=Aacs PE=1 SV=1,326404.5951,304678.6096,307700.0225,348172.7087,314804.1738,359705.9877,287627.0949,351872.0797,345635.712,365676.7976,322289.6947
Q8R2R3,Aagab,Alpha- and gamma-adaptin-binding protein p34 OS=Mus musculus OX=10090 GN=Aagab PE=1 SV=2,29231.4659,35811.58591,30917.71827,33206.54544,31214.74855,36754.38278,30750.19578,34209.56222,31702.27267,35455.83554,34443.76712
Q3UHJ0,Aak1,AP2-associated protein kinase 1 OS=Mus musculus OX=10090 GN=Aak1 PE=1 SV=2,507776.7614,532972.3472,537135.287,528342.7847,485492.6023,528154.456,534011.8813,554510.8897,480926.2941,560983.9795,536914.4434
A0A571BEI2,Aak1,AP2-associated protein kinase 1 (Fragment) OS=Mus musculus OX=10090 GN=Aak1 PE=1 SV=1,456575.0347,415178.1191,481512.6638,462549.9721,433500.7205,486504.3255,477623.7216,486476.1704,381469.1492,492934.1386,483758.3183
A0A571BDM4,Aak1,AP2-associated protein kinase 1 (Fragment) OS=Mus musculus OX=10090 GN=Aak1 PE=1 SV=1,446218.5144,400872.7692,460302.2427,476766.8094,435026.8328,489237.8794,473842.5123,495632.8868,399299.7589,504991.3747,475660.6551
Q8R0P4,Aamdc,Mth938 domain-containing protein OS=Mus musculus OX=10090 GN=Aamdc PE=1 SV=1,244222.6259,284194.6124,183810.9522,221720.6951,247040.1927,258079.7311,180193.6873,213971.2677,260536.1471,274512.019,223455.7171
