Total protein number combining all batches: 8864
  In any 2 batche(s): 8837
  In any 1 batche(s): 27
Batch-specific protein numbers:
  batch1: 15
  batch2: 12

Protein Group#	Protein Accession #	Protein Description	GN	GPCRs	TFs	epigenetic_regularos	kinases	oncogenes	batch1	PSM#	Total Peptide#	Unique Peptide#	%Coverage	sig126_B1	sig127N_B1	sig128N_B1	sig128C_B1	sig129C_B1	sig130N_B1	sig131C_B1	sig132C_B1	sig134N_B1	batch2	PSM#	Total Peptide#	Unique Peptide#	%Coverage	sig127C_B2	sig129N_B2	sig130C_B2	sig131N_B2	sig132N_B2	sig133N_B2	sig133C_B2	sig134C_B2	sig135N_B2
SJPG0100873.001	sp|Q01105|SET_HUMAN	Protein SET OS=Homo sapiens OX=9606 GN=SET PE=1 SV=3	SET	-	-	O	-	O	batch1	280	11	3	41.38	8040157.25	4615141.60	5532720.07	4210527.90	4775673.76	4402929.38	5602099.13	4436287.55	4657570.20	batch2	280	11	3	41.38	6200647.82	5889488.67	6179342.04	3686356.37	6442967.75	4088729.63	5675744.95	4091609.83	4134142.43
SJPG0104424.001	sp|P62495|ERF1_HUMAN	Eukaryotic peptide chain release factor subunit 1 OS=Homo sapiens OX=9606 GN=ETF1 PE=1 SV=3	ETF1	-	-	-	-	-	batch1	203	15	1	41.65	938694.85	501603.40	612650.54	435054.20	549417.52	496755.62	617119.87	475276.91	514103.56	batch2	203	15	1	41.65	688132.91	650418.72	673026.99	424072.00	702037.52	441522.47	635584.83	465625.22	440750.34
SJPG0100116.001	sp|Q14240|IF4A2_HUMAN	Eukaryotic initiation factor 4A-II OS=Homo sapiens OX=9606 GN=EIF4A2 PE=1 SV=2	EIF4A2	-	-	-	-	O	batch1	361	22	0	41.77	4119507.96	2196281.04	2762495.92	2029200.72	2538658.90	2282286.60	2831377.41	2200764.87	2359875.74	batch2	361	22	0	41.77	3016183.60	3018396.15	3038428.88	1913725.47	3115501.75	2019729.10	2963103.00	2164242.45	2022825.79
SJPG0101306.001	sp|P00367|DHE3_HUMAN	"Glutamate dehydrogenase 1, mitochondrial OS=Homo sapiens OX=9606 GN=GLUD1 PE=1 SV=2"	GLUD1	-	-	-	-	-	batch1	724	38	1	55.38	6049918.68	3152768.53	3898624.75	2756198.66	3664933.26	3408154.12	4068945.17	3175201.42	3662364.72	batch2	724	38	1	55.38	4039415.39	4087446.52	4267038.14	3180002.82	4072980.15	3169268.86	3866655.18	3819702.31	2835976.40
SJPG0103336.001	sp|P35658|NU214_HUMAN	Nuclear pore complex protein Nup214 OS=Homo sapiens OX=9606 GN=NUP214 PE=1 SV=2	NUP214	-	-	-	-	O	batch1	246	45	0	28.85	570434.59	324056.99	370481.61	289043.93	337715.63	330670.21	401234.82	315493.15	362994.07	batch2	246	45	0	28.85	423395.85	396811.83	418605.51	313766.09	408614.28	316680.19	378974.86	335318.02	279929.18
SJPG0105207.001	sp|P27815|PDE4A_HUMAN	"cAMP-specific 3',5'-cyclic phosphodiesterase 4A OS=Homo sapiens OX=9606 GN=PDE4A PE=1 SV=3"	PDE4A	-	-	-	-	-	batch1	1	1	0	1.47	96688.25	50495.94	64081.10	45662.54	71881.18	58741.18	62832.31	57549.22	58980.24	batch2	1	1	0	1.47	72061.89	78316.97	70731.57	47490.23	61520.32	48294.22	68940.87	60096.68	55129.87
SJPG0105080.001	sp|Q9HBM6|TAF9B_HUMAN	Transcription initiation factor TFIID subunit 9B OS=Homo sapiens OX=9606 GN=TAF9B PE=1 SV=1	TAF9B	-	-	-	-	-	batch1	7	3	1	21.91	48418.03	23230.92	30081.95	22578.52	26421.11	26891.55	33136.81	21988.57	28829.49	batch2	7	3	1	21.91	34390.10	31985.76	32448.18	23356.51	33383.65	24106.95	31587.29	27074.45	19872.38
SJPG0105528.001	sp|O15091|MRPP3_HUMAN	Mitochondrial ribonuclease P catalytic subunit OS=Homo sapiens OX=9606 GN=PRORP PE=1 SV=2	PRORP	-	-	-	-	-	batch1	112	24	0	39.45	6147634.26	3436839.13	4086849.23	2848959.96	3413035.41	3368627.42	4330363.08	3239694.47	3799041.77	batch2	112	24	0	39.45	4858554.82	4240638.15	4359285.78	3339553.05	4357122.70	3480343.29	3770585.17	3358745.56	2616909.18
SJPG0100021.001	sp|P49006|MRP_HUMAN	MARCKS-related protein OS=Homo sapiens OX=9606 GN=MARCKSL1 PE=1 SV=2	MARCKSL1	-	-	-	-	-	batch1	234	9	8	83.07	3983929.63	2375542.83	2623175.07	2167292.60	2423583.90	2457282.30	3003312.00	2315453.27	2532022.93	batch2	234	9	8	83.07	3105955.12	2974000.62	3177776.11	1906689.31	3297735.11	2043560.82	3038641.25	2219303.32	2218184.57
SJPG0103031.016	tr|B4DN71|B4DN71_HUMAN	"cDNA FLJ54105, highly similar to Sulfatase-modifying factor 2 OS=Homo sapiens OX=9606 PE=2 SV=1"	NA	-	-	-	-	-	batch1	30	6	0	30.05	887371.60	502537.02	613944.31	481161.86	600460.31	585556.21	710800.63	573198.30	628723.17	batch2	30	6	0	30.05	649947.10	676774.05	703630.05	528704.48	684346.37	513661.13	660242.83	653676.32	477925.98
SJPG0101124.001	sp|Q9HAB8|PPCS_HUMAN	Phosphopantothenate--cysteine ligase OS=Homo sapiens OX=9606 GN=PPCS PE=1 SV=2	PPCS	-	-	-	-	-	batch1	53	8	1	23.79	300781.13	157285.94	197292.77	145956.60	181894.11	157829.06	207197.17	162754.17	166818.71	batch2	53	8	1	23.79	219363.22	204833.38	220639.18	139904.85	224461.40	146793.75	214727.85	158574.10	141381.27
SJPG0105965.001	sp|Q8IX18|DHX40_HUMAN	Probable ATP-dependent RNA helicase DHX40 OS=Homo sapiens OX=9606 GN=DHX40 PE=1 SV=2	DHX40	-	-	-	-	-	batch1	4	4	0	5.13	62320.87	35134.51	42199.05	31947.06	36128.22	33147.89	46500.05	31247.65	40955.56	batch2	4	4	0	5.13	43916.17	38447.79	45215.64	39844.86	46631.10	32663.49	40971.64	35223.81	31460.98
SJPG0153360.001	cu|PREP_L351V|snp	PREP|uc003prc.3|L351V|chr6:105776866-105776866.A_C	NA	-	-	-	-	-	batch1	23	4	1	75.4	344688.47	180799.48	234716.46	176976.84	214750.32	184907.40	242357.59	191958.37	190902.78	batch2	23	4	1	75.4	266903.30	260502.27	256107.80	158032.17	259671.48	173415.72	251412.14	169886.72	168676.98
SJPG0120869.001	sp|Q6NUS6|TECT3_HUMAN	Tectonic-3 OS=Homo sapiens OX=9606 GN=TCTN3 PE=1 SV=2	TCTN3	-	-	-	-	-	batch1	4	1	0	1.81	49444.50	24712.82	30501.76	23471.04	30405.20	22007.30	35979.07	25586.07	31245.81	batch2	4	1	0	1.81	36951.06	32385.70	34461.46	26783.52	32644.50	26819.46	29265.21	30510.57	19499.09
SJPG0112643.001	sp|Q8NCH0|CHSTE_HUMAN	Carbohydrate sulfotransferase 14 OS=Homo sapiens OX=9606 GN=CHST14 PE=1 SV=2	CHST14	-	-	-	-	-	batch1	15	4	1	10.64	65304.12	38089.62	42736.93	31542.98	40817.25	37867.29	47169.92	36754.98	43255.32	batch2	15	4	1	10.64	54704.34	48742.19	50411.52	34400.18	45768.68	33628.13	45900.89	39108.71	30422.80
SJPG0110830.001	sp|Q86XI2|CNDG2_HUMAN	Condensin-2 complex subunit G2 OS=Homo sapiens OX=9606 GN=NCAPG2 PE=1 SV=1	NCAPG2	-	-	-	-	-	batch1	7	6	0	4.46	160126.36	90034.74	103891.34	77714.34	90264.68	84591.11	114313.25	83804.64	86402.67	batch2	7	6	0	4.46	116491.01	115361.22	113301.72	76033.91	115413.07	85083.87	103782.68	79867.12	78072.23
SJPG0101299.001	sp|Q5VWJ9|SNX30_HUMAN	Sorting nexin-30 OS=Homo sapiens OX=9606 GN=SNX30 PE=1 SV=1	SNX30	-	-	-	-	-	batch1	5	5	4	11.67	79807.84	40940.87	46638.48	37390.38	43386.47	43106.36	56037.70	39574.27	50877.19	batch2	5	5	4	11.67	58717.14	58964.71	55382.02	38106.29	56158.29	39624.74	53791.23	37984.49	36190.80
SJPG0130947.001	cu|AKR1B10_P87A|snp	AKR1B10|uc003vrr.3|P87A|chr7:134216684-134216684.C_G	NA	-	-	-	-	-	batch1	23	3	0	27.86	711599.22	363126.26	478871.29	387947.00	403793.85	422850.18	523902.52	426516.86	422422.53	batch2	23	3	0	27.86	502908.21	487343.45	517086.76	357023.00	571779.61	388431.62	514621.87	439968.97	340037.88
SJPG0120497.001	sp|P35321|SPR1A_HUMAN	Cornifin-A OS=Homo sapiens OX=9606 GN=SPRR1A PE=1 SV=2	SPRR1A	-	-	-	-	-	batch1	1	1	0	8.99	119589.77	79902.43	82588.10	72524.38	76868.07	84937.69	98827.72	88018.54	109082.93	batch2	1	1	0	8.99	86795.09	112478.05	82694.29	186172.35	92887.08	60167.65	89726.40	67870.02	69317.28
SJPG0108078.001	sp|Q9NVU7|SDA1_HUMAN	Protein SDA1 homolog OS=Homo sapiens OX=9606 GN=SDAD1 PE=1 SV=3	SDAD1	-	-	-	-	-	batch1	106	19	0	26.49	441408.57	250621.66	293838.65	218626.89	246778.32	245738.37	319943.27	239910.57	278429.50	batch2	106	19	0	26.49	317263.18	288259.34	319682.30	234399.90	327888.64	250784.77	293560.86	259609.63	214468.69
SJPG0100112.001	sp|P18859|ATP5J_HUMAN	"ATP synthase-coupling factor 6, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PF PE=1 SV=1"	ATP5PF	-	-	-	-	-	batch1	101	7	0	51.85	3725808.28	2050033.06	2343334.83	1599190.15	2127792.17	1978613.29	2496670.62	1881672.61	2260605.05	batch2	101	7	0	51.85	2770334.13	2411849.82	2699124.24	1928214.29	2438236.87	1896029.88	2231716.59	2164448.01	1648041.34
SJPG0104860.001	sp|Q9BXR0|TGT_HUMAN	Queuine tRNA-ribosyltransferase catalytic subunit 1 OS=Homo sapiens OX=9606 GN=QTRT1 PE=1 SV=3	QTRT1	-	-	-	-	-	batch1	33	7	0	20.6	161489.89	84750.55	105758.31	73505.64	96213.92	84163.86	108831.39	83024.91	89951.59	batch2	33	7	0	20.6	121164.55	108944.06	119012.87	75659.89	117544.99	80905.16	106627.83	80193.57	72448.39
SJPG0105467.001	sp|Q9HCM4|E41L5_HUMAN	Band 4.1-like protein 5 OS=Homo sapiens OX=9606 GN=EPB41L5 PE=1 SV=3	EPB41L5	-	-	-	-	-	batch1	32	15	0	24.69	221827.05	135938.41	150790.20	114677.89	136797.95	133147.09	169510.67	127166.25	151842.99	batch2	32	15	0	24.69	174951.17	162560.61	166891.29	122123.60	179995.89	125682.49	154851.69	133673.36	114530.41
SJPG0101598.001	sp|Q7L804|RFIP2_HUMAN	Rab11 family-interacting protein 2 OS=Homo sapiens OX=9606 GN=RAB11FIP2 PE=1 SV=1	RAB11FIP2	-	-	-	-	-	batch1	5	1	0	2.34	295773.03	171791.85	185552.71	140991.73	169692.08	168614.54	223385.30	171278.72	207628.53	batch2	5	1	0	2.34	210763.89	202420.05	235658.83	174332.19	245140.41	176175.50	165822.15	185070.31	130068.74
SJPG0104643.001	sp|Q15738|NSDHL_HUMAN	"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating OS=Homo sapiens OX=9606 GN=NSDHL PE=1 SV=2"	NSDHL	-	-	-	-	-	batch1	235	17	17	47.45	1237038.31	698100.02	837875.47	585628.74	732072.16	706096.10	884521.60	680713.84	772860.81	batch2	235	17	17	47.45	1005259.37	877431.28	912488.40	678816.55	832646.13	690915.04	778104.60	701096.68	594460.02
SJPG0100401.001	sp|P35579|MYH9_HUMAN	Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4	MYH9	-	-	-	-	-	batch1	3153	165	0	59.85	6562635.96	3439409.52	4400565.37	3041629.94	3988176.00	3472423.14	4379861.77	3435323.40	3639858.37	batch2	3153	165	0	59.85	4933013.07	4661770.71	4781469.86	3149212.13	4513319.34	3227446.02	4253942.35	3405692.43	3135580.40
SJPG0103226.001	sp|Q9BZL1|UBL5_HUMAN	Ubiquitin-like protein 5 OS=Homo sapiens OX=9606 GN=UBL5 PE=1 SV=1	UBL5	-	-	-	-	-	batch1	10	4	0	35.61	275047.86	150612.48	171090.78	134679.92	170493.62	143478.60	184800.96	152389.41	161719.26	batch2	10	4	0	35.61	213997.78	184817.64	206618.25	128083.83	195070.04	151123.49	164778.43	153368.29	136376.81
SJPG0103776.001	sp|Q14258|TRI25_HUMAN	E3 ubiquitin/ISG15 ligase TRIM25 OS=Homo sapiens OX=9606 GN=TRIM25 PE=1 SV=2	TRIM25	-	-	-	-	-	batch1	141	23	2	42.22	1072791.23	582065.34	720221.14	562619.72	640252.87	590042.15	766232.67	591683.02	628486.37	batch2	141	23	2	42.22	785944.55	752076.60	796760.83	529259.47	837729.19	545346.23	770455.40	574823.26	540056.96
SJPG0101939.001	sp|Q9Y2H1|ST38L_HUMAN	Serine/threonine-protein kinase 38-like OS=Homo sapiens OX=9606 GN=STK38L PE=1 SV=3	STK38L	-	-	-	O	-	batch1	35	10	1	27.8	158506.33	88765.38	105497.20	79595.27	92404.52	85839.10	114160.44	86171.99	91874.94	batch2	35	10	1	27.8	119377.95	112354.95	119989.77	79429.54	119223.00	79903.25	112285.89	81382.24	76112.11
SJPG0105892.001	sp|P00519|ABL1_HUMAN	Tyrosine-protein kinase ABL1 OS=Homo sapiens OX=9606 GN=ABL1 PE=1 SV=4	ABL1	-	-	-	O	O	batch1	5	3	0	4.25	28884.25	16707.56	19704.62	15488.22	15855.63	15692.68	20788.07	17897.74	17264.31	batch2	5	3	0	4.25	23714.52	20717.46	23377.83	16518.61	19505.66	15853.89	23329.27	13928.82	12346.55
SJPG0102836.002	sp|Q05519-2|SRS11_HUMAN	Isoform 2 of Serine/arginine-rich splicing factor 11 OS=Homo sapiens OX=9606 GN=SRSF11	SRSF11	-	-	-	-	-	batch1	137	17	1	32.92	918919.03	507908.66	607326.42	431396.42	525257.58	497152.07	646736.71	488748.70	560132.15	batch2	137	17	1	32.92	660726.90	619365.10	654069.01	457994.11	697495.24	477937.36	626713.49	484708.82	455420.33
SJPG0163168.001	co|CON_Q28065|Con	SWISS-PROT:Q28065|Contaminant Bos taurus: C4b-binding protein alpha chain precursor	NA	-	-	-	-	-	batch1	10	5	5	9.52	136740.53	82915.95	77989.78	72067.59	79976.63	86533.75	97680.54	76494.33	84416.50	batch2	10	5	5	9.52	94636.99	94096.70	92594.63	72653.04	113936.35	72575.41	95125.70	78320.68	75374.64
SJPG0107585.001	sp|Q14956|GPNMB_HUMAN	Transmembrane glycoprotein NMB OS=Homo sapiens OX=9606 GN=GPNMB PE=1 SV=2	GPNMB	-	-	-	-	-	batch1	3	1	0	1.22	410569.71	306405.34	219931.41	95326.04	131184.17	137815.63	228733.27	98377.36	172390.88	batch2	3	1	0	1.22	342266.76	222356.58	223122.98	146631.10	209747.32	141360.79	178060.87	134019.58	104991.35
SJPG0105420.001	sp|Q92844|TANK_HUMAN	TRAF family member-associated NF-kappa-B activator OS=Homo sapiens OX=9606 GN=TANK PE=1 SV=2	TANK	-	-	-	-	-	batch1	4	4	0	13.41	65537.18	34954.91	44372.07	32826.45	36333.24	35905.09	50347.94	33299.63	38075.96	batch2	4	4	0	13.41	47292.45	44427.87	50154.59	25949.71	47227.60	35223.55	44440.49	34814.97	39481.80
SJPG0122095.001	sp|Q9H9C1|SPE39_HUMAN	Spermatogenesis-defective protein 39 homolog OS=Homo sapiens OX=9606 GN=VIPAS39 PE=1 SV=1	VIPAS39	-	-	-	-	-	batch1	17	8	0	15.82	72772.03	46780.21	53035.49	41395.02	43856.55	46257.48	56497.84	48090.71	45913.63	batch2	17	8	0	15.82	57346.57	55653.25	58173.32	40454.55	61043.98	40693.64	55365.08	41571.89	44045.15
SJPG0109339.001	sp|Q16827|PTPRO_HUMAN	Receptor-type tyrosine-protein phosphatase O OS=Homo sapiens OX=9606 GN=PTPRO PE=1 SV=2	PTPRO	-	-	-	-	-	batch1	2	1	0	0.74	109385.30	65429.63	72422.94	58732.28	64757.90	65922.27	85536.30	67312.50	70034.55	batch2	2	1	0	0.74	86664.31	76809.37	86151.71	59783.40	82781.36	62900.33	73736.81	78760.60	50546.61
SJPG0110632.001	sp|P46013|KI67_HUMAN	Proliferation marker protein Ki-67 OS=Homo sapiens OX=9606 GN=MKI67 PE=1 SV=2	MKI67	-	-	-	-	-	batch1	1036	151	6	57.09	1041522.31	572016.73	673530.48	468032.93	592919.93	582061.73	698597.38	532674.45	629854.52	batch2	1036	151	6	57.09	871597.77	741596.09	771122.43	548540.22	670488.23	568122.61	614446.14	527128.63	450356.17
SJPG0109251.001	sp|Q9NVU0|RPC5_HUMAN	DNA-directed RNA polymerase III subunit RPC5 OS=Homo sapiens OX=9606 GN=POLR3E PE=1 SV=1	POLR3E	-	-	-	-	-	batch1	12	7	0	9.04	106747.63	56768.57	64862.29	49905.21	60431.14	56598.44	70729.88	57338.61	63320.31	batch2	12	7	0	9.04	71733.73	67951.56	72874.00	51243.72	78916.27	53718.39	72793.08	54841.66	55928.91
SJPG0107321.001	sp|O76041|NEBL_HUMAN	Nebulette OS=Homo sapiens OX=9606 GN=NEBL PE=1 SV=1	NEBL	-	-	-	-	-	batch1	6	4	0	3.45	62389.44	40011.50	41280.21	40346.04	22747.05	36342.70	54816.62	42116.96	38097.32	batch2	6	4	0	3.45	46358.15	53338.06	33732.41	46840.17	33808.71	39296.90	36020.84	30381.61	53218.64
SJPG0107013.001	sp|Q05209|PTN12_HUMAN	Tyrosine-protein phosphatase non-receptor type 12 OS=Homo sapiens OX=9606 GN=PTPN12 PE=1 SV=3	PTPN12	-	-	-	-	-	batch1	80	24	0	33.97	231471.99	144031.24	166971.59	142332.35	146399.16	154488.05	184267.76	152174.27	162337.07	batch2	80	24	0	33.97	178187.81	183845.37	189910.86	130463.04	207486.10	135362.15	187896.58	135878.21	140158.73
SJPG0127685.001	cu|uc002lvu.3|ucsc	"Homo sapiens signal peptide peptidase like 2B (SPPL2B), transcript variant 2, mRNA."	NA	-	-	-	-	-	batch1	1	1	0	2.01	86179.69	61696.31	66642.80	48749.02	38224.31	48256.49	63542.03	53964.99	65216.12	batch2	1	1	0	2.01	63994.01	49315.44	63664.78	54547.08	75097.67	61575.57	66503.09	51181.09	41307.38
SJPG0101774.001	sp|Q53HC9|EIPR1_HUMAN	EARP and GARP complex-interacting protein 1 OS=Homo sapiens OX=9606 GN=EIPR1 PE=1 SV=2	EIPR1	-	-	-	-	-	batch1	27	6	0	17.05	124879.85	71965.77	84111.77	63870.98	74492.59	70150.46	93887.36	65788.01	76963.68	batch2	27	6	0	17.05	90775.79	88144.59	95651.23	57820.93	100740.72	66776.71	89844.62	67835.98	66105.64
SJPG0112496.001	sp|P53567|CEBPG_HUMAN	CCAAT/enhancer-binding protein gamma OS=Homo sapiens OX=9606 GN=CEBPG PE=1 SV=1	CEBPG	-	O	-	-	-	batch1	5	2	2	25.33	34334.12	19954.76	19326.25	16356.66	18148.20	15964.15	21105.77	19316.45	17588.24	batch2	5	2	2	25.33	23258.64	20708.29	25947.55	20765.38	27412.12	13934.04	21124.15	16465.15	13050.14
SJPG0103435.001	sp|O43169|CYB5B_HUMAN	Cytochrome b5 type B OS=Homo sapiens OX=9606 GN=CYB5B PE=1 SV=3	CYB5B	-	-	-	-	-	batch1	91	6	0	58.66	2644101.99	1567374.61	1818532.18	1361906.03	1591421.35	1678209.97	1983283.93	1485393.82	1822407.23	batch2	91	6	0	58.66	1881956.99	1738129.74	2028550.15	1581560.14	2142795.31	1554702.25	1813191.18	1780131.78	1304174.02
SJPG0104176.001	sp|Q9H0W8|SMG9_HUMAN	Protein SMG9 OS=Homo sapiens OX=9606 GN=SMG9 PE=1 SV=1	SMG9	-	-	-	-	-	batch1	4	4	1	13.27	73834.10	41227.13	48352.37	36710.67	46064.14	44239.88	60858.40	42987.10	40585.46	batch2	4	4	1	13.27	60378.44	52534.11	53210.84	36431.84	53483.05	43799.45	51500.18	41385.77	38080.90
SJPG0101879.008	tr|Q6ZP26|Q6ZP26_HUMAN	"cDNA FLJ26672 fis, clone MPG03403, highly similar to Ligatin (Hepatocellular carcinoma-associated antigen 56) OS=Homo sapiens OX=9606 PE=2 SV=1"	NA	-	-	-	-	-	batch1	7	6	0	15.23	99974.87	52319.90	62647.46	47824.25	62386.14	56444.38	72017.82	54581.45	61553.27	batch2	7	6	0	15.23	74292.43	67814.98	81411.11	43419.79	72704.50	52387.12	74384.02	49721.05	53223.93
SJPG0114093.003	sp|Q6P4D5-3|F222C_HUMAN	Isoform 3 of Protein FAM122C OS=Homo sapiens OX=9606 GN=FAM122C	FAM122C	-	-	-	-	-	batch1	1	1	0	7.83	56684.60	30897.12	39777.98	38458.77	16169.18	41574.49	56400.17	32517.50	48182.37	batch2	1	1	0	7.83	48048.43	34957.88	43632.79	27131.52	42703.92	32941.61	41093.42	37807.04	36622.90
SJPG0106963.001	sp|Q9Y3I1|FBX7_HUMAN	F-box only protein 7 OS=Homo sapiens OX=9606 GN=FBXO7 PE=1 SV=1	FBXO7	-	-	-	-	-	batch1	9	4	0	9.96	84689.31	47064.26	59801.62	45144.07	47207.07	45327.64	61631.19	45465.82	53576.42	batch2	9	4	0	9.96	69560.95	64150.87	64937.43	45925.69	68345.29	43391.36	59898.42	41136.51	35545.88
SJPG0113141.001	sp|Q8NHQ9|DDX55_HUMAN	ATP-dependent RNA helicase DDX55 OS=Homo sapiens OX=9606 GN=DDX55 PE=1 SV=3	DDX55	-	-	-	-	-	batch1	30	11	0	19.33	166627.29	94511.67	105967.92	79397.86	93532.72	92653.69	117160.32	89878.38	98356.03	batch2	30	11	0	19.33	121505.68	110814.54	121790.93	85947.32	121655.26	85817.73	110095.93	91660.10	80089.90
SJPG0105912.001	sp|P04439|HLAA_HUMAN	"HLA class I histocompatibility antigen, A alpha chain OS=Homo sapiens OX=9606 GN=HLA-A PE=1 SV=2"	HLA-A	-	-	-	-	-	batch1	11	1	0	1.92	260490.26	159828.00	175472.77	129185.32	152030.81	162548.45	198208.55	155156.19	175513.74	batch2	11	1	0	1.92	217318.32	198832.09	198110.56	152957.24	171093.37	168612.78	174084.37	163605.08	117015.55
SJPG0119075.001	tr|G5EKE5|G5EKE5_HUMAN	Tyrosine-protein kinase receptor OS=Homo sapiens OX=9606 GN=PPFIBP1-ALK PE=2 SV=1	PPFIBP1-ALK	-	-	-	-	-	batch1	8	4	1	5.55	189046.78	109056.60	115212.29	87499.27	101786.07	111197.76	141607.72	97126.95	110694.95	batch2	8	4	1	5.55	158100.83	129681.59	146399.36	90932.45	130168.02	87683.46	130298.37	95626.61	92268.43
