ProteinAccession,GeneName,ProteinDescription,Group1_1,Group1_2,Group1_3,Group1_4,Group2_1,Group2_2,Group2_3,Group2_4,Group3_1,Group3_2,Group3_3,Group3_4,Group4_1,Group4_2,Group4_3,Group4_4
sp|Q9UNF1|MAGD2_HUMAN,MAGED2,Melanoma-associated antigen D2 OS=Homo sapiens OX=9606 GN=MAGED2 PE=1 SV=2,177082.77,183123.95,183163.43,172327.6,171652.53,162034.97,160126.64,165392.81,173220.88,178788.88,162385.79,177475.09,160693.64,166840.67,154428.47,155758.48
sp|Q9NQP4|PFD4_HUMAN,PFDN4,Prefoldin subunit 4 OS=Homo sapiens OX=9606 GN=PFDN4 PE=1 SV=1,410768.39,373208.39,412818.65,385939.62,388558.69,479623.14,433185.82,496281.43,326545.34,424233.45,380811.44,360892.7,412061.15,381515,462154.02,417366.39
sp|P07954|FUMH_HUMAN,FH,"Fumarate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=FH PE=1 SV=3",884687.47,903171.63,888425.55,891714.84,877528.72,877736.06,878064.02,854308.32,935419.81,877854.71,946826.28,886171.76,880888.66,891363.94,903738.02,898177.15
sp|O94826|TOM70_HUMAN,TOMM70,Mitochondrial import receptor subunit TOM70 OS=Homo sapiens OX=9606 GN=TOMM70 PE=1 SV=1,423898.9,429801.14,441153.8,424270.9,406516.26,410782.99,415373.66,398191.28,457539.76,459801.01,461498.09,448400.79,417863.79,436418.13,440864.81,419772.96
sp|Q96L58|B3GT6_HUMAN,B3GALT6,"Beta-1,3-galactosyltransferase 6 OS=Homo sapiens OX=9606 GN=B3GALT6 PE=1 SV=2",116659.89,142131.54,146281.34,141271.76,121790.54,145279.67,127529.33,164573.03,145229.99,162106.32,174360.92,129626.29,168451.6,155332.41,139128.63,137986.43
sp|Q9BQG0|MBB1A_HUMAN,MYBBP1A,Myb-binding protein 1A OS=Homo sapiens OX=9606 GN=MYBBP1A PE=1 SV=2,283123.54,290103.52,254812.59,262317.27,255084.84,221882.1,236453.35,201598.87,261508.21,205745.02,222433.66,244458.5,224499.55,221400.28,192228.63,214721.54
sp|P35221|CTNA1_HUMAN,CTNNA1,Catenin alpha-1 OS=Homo sapiens OX=9606 GN=CTNNA1 PE=1 SV=1,145466.18,160101,140832.08,151848.73,169411.51,183575.12,214355.2,173145.93,203034.43,166295.01,169704.92,206552.99,224246.02,247164.37,211995.41,235725.13
sp|Q9GZT9|EGLN1_HUMAN,EGLN1,Egl nine homolog 1 OS=Homo sapiens OX=9606 GN=EGLN1 PE=1 SV=1,81167.04,74558.93,89832.74,99626.23,80117.12,91574.09,85725.63,89768.13,80960.84,118512.42,93488.1,84951.36,113180.82,77309.53,88411.99,92019.65
sp|O14497|ARI1A_HUMAN,ARID1A,AT-rich interactive domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ARID1A PE=1 SV=3,178030.78,181987.86,178888.78,183736.38,158805.65,166526.84,169316.67,157943.45,180665.48,220887.96,193673.15,175183.95,142970.75,135591.54,164497.6,149434.21
sp|P0DMV9|HS71B_HUMAN,HSPA1B,Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1,1312889.53,1164065.65,1292244.97,1235819.46,1264875.2,1411566.18,1344590.01,1386859.61,1178647,1478156.58,1229979.59,1253920.79,1362069.93,1228493.22,1481834.51,1404395.37
sp|Q8TAE8|G45IP_HUMAN,GADD45GIP1,Growth arrest and DNA damage-inducible proteins-interacting protein 1 OS=Homo sapiens OX=9606 GN=GADD45GIP1 PE=1 SV=1,461909.95,526816.58,531255.23,521071.21,496973.98,498678.33,484308.46,480466.69,598123.92,504472.95,554464.28,536946.06,504334.44,559674.24,523217.67,493410.06
sp|Q8N0Z6|TTC5_HUMAN,TTC5,Tetratricopeptide repeat protein 5 OS=Homo sapiens OX=9606 GN=TTC5 PE=1 SV=2,273785.91,271534.51,255106.01,268098.55,246190.85,248853.35,271259.5,274248.16,223075.91,267198.81,241237.04,260563.93,258252.61,235082.36,231674.18,282392.04
sp|P31948|STIP1_HUMAN,STIP1,Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1,415731.94,380422.41,396894.43,382974.97,391682.76,430067.28,418866.12,454688.12,380443.86,406134.5,421335.7,384280.67,444199.95,417550.01,457740.17,442042.11
sp|Q13423|NNTM_HUMAN,NNT,"NAD(P) transhydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=NNT PE=1 SV=3",805305.47,840202.42,809391.82,818730.01,858061.69,858774.15,830030.95,781842.99,849462.84,846563.16,848077.24,808947.67,813227.19,848886.81,883533.5,871556.2
sp|Q12955|ANK3_HUMAN,ANK3,Ankyrin-3 OS=Homo sapiens OX=9606 GN=ANK3 PE=1 SV=3,198809.87,206358.11,207699.5,217725.94,179006.14,191400.68,194111.59,213076.94,191251.44,275626.62,234503.11,206210,182642.66,164010.11,199726.98,178562.43
sp|P56945|BCAR1_HUMAN,BCAR1,Breast cancer anti-estrogen resistance protein 1 OS=Homo sapiens OX=9606 GN=BCAR1 PE=1 SV=2,202642.64,185423.77,195321.15,195054.4,197841.98,217022.38,198563.79,198467.72,175219.62,212080.64,190960.05,195411.35,192109.3,176874.92,218647.02,186908.47
sp|O60716|CTND1_HUMAN,CTNND1,Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1,367223.99,355345.33,378407.79,358970.83,294141.55,312559.1,331024.34,336765.25,329672.58,423385.93,384156.78,362210.97,304313.76,285511.47,312555.83,289206.6
sp|Q9NV92|NFIP2_HUMAN,NDFIP2,NEDD4 family-interacting protein 2 OS=Homo sapiens OX=9606 GN=NDFIP2 PE=1 SV=2,275081.75,313610.83,312086.5,295603.84,275244.42,273179.59,300897.75,400786.37,277172.68,287510.8,301519.6,287668.72,283015.05,217827.58,222630.13,242687.62
sp|Q14498|RBM39_HUMAN,RBM39,RNA-binding protein 39 OS=Homo sapiens OX=9606 GN=RBM39 PE=1 SV=2,526523.8,527407.94,514599.37,506860.52,549845.88,484193.3,506251.65,448804.17,547375.56,484492.73,489026.64,517450.38,501385.46,512408.31,477069.62,520275.18
sp|P26641|EF1G_HUMAN,EEF1G,Elongation factor 1-gamma OS=Homo sapiens OX=9606 GN=EEF1G PE=1 SV=3,987892.59,934766.5,955304.4,955781.52,966921.04,1037198.23,994054.03,1034529.91,929159.58,1032515.14,947618.39,991808.74,961956.26,996284.91,1070864.35,1062156.71
sp|Q9Y2B5|VP9D1_HUMAN,VPS9D1,VPS9 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=VPS9D1 PE=1 SV=2,49164.09,41870.78,41172.72,39021.57,43100.43,39399.33,38192.2,44285.14,35405.67,42122.67,29700.81,39487.94,41545.82,35603.27,43603.07,33595.48
sp|P53618|COPB_HUMAN,COPB1,Coatomer subunit beta OS=Homo sapiens OX=9606 GN=COPB1 PE=1 SV=3,429255.22,426740.94,417858.6,416958.85,444902.83,457562.2,424465.48,441799.76,404474.88,383290.67,420203.09,422247.16,448372.42,483992.46,479548.33,486873.77
sp|Q9NVA2|SEP11_HUMAN,SEPTIN11,Septin-11 OS=Homo sapiens OX=9606 GN=SEPTIN11 PE=1 SV=3,649580.25,652027.73,697673.87,672646.81,640488,670704.96,715641.36,751292.89,663523.53,794081.48,672706.13,682894.84,746725.51,687715.84,767895.21,733831.58
sp|Q9H2M9|RBGPR_HUMAN,RAB3GAP2,Rab3 GTPase-activating protein non-catalytic subunit OS=Homo sapiens OX=9606 GN=RAB3GAP2 PE=1 SV=1,208841.71,201533.42,198883.88,204731.19,217403.53,212764.49,208565.26,205041.89,186443.57,207289.98,176534.97,195592.24,201917.03,211053.9,212852.16,215204.6
sp|Q9P1Y5|CAMP3_HUMAN,CAMSAP3,Calmodulin-regulated spectrin-associated protein 3 OS=Homo sapiens OX=9606 GN=CAMSAP3 PE=1 SV=2,215681.12,204023.22,231818.3,232359.87,182398.46,172756.95,209917.44,210318.69,195284.75,277688.81,212145.49,213856.43,198611.79,177413.85,211972.65,179617.52
sp|P08559|ODPA_HUMAN,PDHA1,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Homo sapiens OX=9606 GN=PDHA1 PE=1 SV=3",622241.4,609450.58,600533.57,618766.69,624983.43,588178.69,572925.38,509564.25,673489.97,607207.3,590794.89,638242.51,550713.09,605625.26,559419.22,595757.32
sp|Q99733|NP1L4_HUMAN,NAP1L4,Nucleosome assembly protein 1-like 4 OS=Homo sapiens OX=9606 GN=NAP1L4 PE=1 SV=1,515432.9,481652.19,496452.4,497965.38,459685.07,487289.09,540391.25,527687.18,529002.11,583135.17,535672.73,516771.56,559283.49,570655.09,589290.42,566101.8
sp|Q8N1S5|S39AB_HUMAN,SLC39A11,Zinc transporter ZIP11 OS=Homo sapiens OX=9606 GN=SLC39A11 PE=2 SV=3,444672.36,503725.9,429395.51,507371.65,444352.37,363190.02,425009.43,,523996.7,439952.53,462323.38,562095.32,415283.08,420486.7,,392182.62
sp|P49006|MRP_HUMAN,MARCKSL1,MARCKS-related protein OS=Homo sapiens OX=9606 GN=MARCKSL1 PE=1 SV=2,1430472.24,1627844.04,1575345.12,1602609.93,872141.82,946818.64,1330805.88,1376021.16,1114383.76,1695172.6,1996871.85,1556887.62,1376298.51,913597.77,1025130.47,1026165.3
sp|Q7KZF4|SND1_HUMAN,SND1,Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1,519256.75,529893.02,506239.34,499048.05,523674.34,493849.17,484568.02,456072.36,549943.17,498528.8,486448.88,527357.52,490076.18,495029.12,486246.98,482402.78
sp|Q5SQI0|ATAT_HUMAN,ATAT1,Alpha-tubulin N-acetyltransferase 1 OS=Homo sapiens OX=9606 GN=ATAT1 PE=1 SV=1,732142.04,693582.1,683732.88,668013.29,662024.34,744207.18,674515.22,777315.65,685565.16,777612.69,723432.11,741307.88,734422.92,699884.56,767096.01,741795.21
sp|P19404|NDUV2_HUMAN,NDUFV2,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFV2 PE=1 SV=2",659351.47,641952.74,673694.36,676084.57,618009.5,606701.92,601228.09,560956.6,670942.08,706032.41,655092.38,638026.79,544741.91,535966.6,562631.92,548757.58
sp|Q9UBF2|COPG2_HUMAN,COPG2,Coatomer subunit gamma-2 OS=Homo sapiens OX=9606 GN=COPG2 PE=1 SV=1,467198.05,465455.01,463129.87,467061.43,518798.87,501111.79,481543.06,466094.07,477910,461600.75,465389.34,472561.58,517799.39,513521.86,488158.17,513250.09
sp|P54802|ANAG_HUMAN,NAGLU,Alpha-N-acetylglucosaminidase OS=Homo sapiens OX=9606 GN=NAGLU PE=1 SV=2,323067.61,320217.66,312970.49,348478.7,352820.54,348032.7,330499.61,304459.77,287329.26,264356.93,288883.52,273482.72,274625.42,301873.92,304015.71,326557.25
sp|Q96PY5|FMNL2_HUMAN,FMNL2,Formin-like protein 2 OS=Homo sapiens OX=9606 GN=FMNL2 PE=1 SV=3,217897.56,227208.99,197542.5,210975.49,210810.41,224675.51,216499.76,224429.94,213413.86,241306.89,203711.59,215822.12,226314.93,236320.7,252992.28,240072.29
sp|O00468|AGRIN_HUMAN,AGRN,Agrin OS=Homo sapiens OX=9606 GN=AGRN PE=1 SV=6,229464.51,230468.44,226515.8,227681.37,482370.32,487838.08,513221.14,487058.45,238074.05,228339.84,203012.82,208194.59,490610.92,431276.14,501852.34,449372.31
tr|B1ALY0|B1ALY0_HUMAN,PALM2AKAP2,PALM2 and AKAP2 fusion (Fragment) OS=Homo sapiens OX=9606 GN=PALM2AKAP2 PE=1 SV=1,141725.59,140490.39,144950.48,166892.6,123283.48,151554.97,173567.02,178489.32,113439.6,210619.71,198458.01,150085.56,101612.94,,123201.47,102870.79
sp|P17858|PFKAL_HUMAN,PFKL,"ATP-dependent 6-phosphofructokinase, liver type OS=Homo sapiens OX=9606 GN=PFKL PE=1 SV=6",433601.22,437042.58,425612.45,435131.1,470340,459118.95,453995.43,486345.59,430289.03,429353.68,430234.37,456267.41,517307.63,505632.52,487336.24,500845.74
sp|Q9H7E9|CH033_HUMAN,C8orf33,UPF0488 protein C8orf33 OS=Homo sapiens OX=9606 GN=C8orf33 PE=1 SV=1,179971.47,204986.11,157868.77,202400.33,202491.24,206464.1,204364.98,181026.36,189854.65,231655.64,156136.6,234331.87,163135.45,191135,179772.49,203129.81
sp|Q9BUH6|PAXX_HUMAN,PAXX,Protein PAXX OS=Homo sapiens OX=9606 GN=PAXX PE=1 SV=2,161076.01,139542.48,122297.68,136476.74,166229.22,175824.84,126118.01,165758.28,97130.2,118201.87,114281.59,109980.7,137266.3,119912.76,142728.32,126443.15
tr|A0A024R4E5|A0A024R4E5_HUMAN,HDLBP,High density lipoprotein binding protein OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=1,256724.46,260995.27,285709.49,257407.39,243413.43,239006.89,260215.13,257674.29,245707.94,287288.82,218883.41,242880.41,181448.15,200696.63,228940.4,207292.94
tr|I3L3Q4|I3L3Q4_HUMAN,GLOD4,Glyoxalase domain containing 4 (Fragment) OS=Homo sapiens OX=9606 GN=GLOD4 PE=1 SV=1,65999.43,88431.09,100661.29,106062.76,,64724.86,100618.7,122123.16,90838.59,148624.42,135141.03,98101.93,138411.91,,,77343.65
sp|O95359|TACC2_HUMAN,TACC2,Transforming acidic coiled-coil-containing protein 2 OS=Homo sapiens OX=9606 GN=TACC2 PE=1 SV=3,123004.78,132844.87,133393.28,135074.77,102305.75,133958.13,107866.55,154399.85,117307.31,161414.73,120501.15,124181.37,103197.14,94823.6,103769.44,109852.84
sp|Q05086|UBE3A_HUMAN,UBE3A,Ubiquitin-protein ligase E3A OS=Homo sapiens OX=9606 GN=UBE3A PE=1 SV=4,272362.4,263529.99,270790.36,273977.07,272319.31,273310.68,267787.83,272964.94,239249.83,255913.22,245208.45,261351.14,264623.23,254301.04,265848.78,268822.23
sp|Q9H019|MFR1L_HUMAN,MTFR1L,Mitochondrial fission regulator 1-like OS=Homo sapiens OX=9606 GN=MTFR1L PE=1 SV=2,278474.49,281098.73,274753.42,280649.31,221338.11,259588.17,241258.29,286524.2,283722.84,315821.74,297729.99,331588.22,289629.68,259044.31,275262.89,260658.34
sp|Q9UBQ7|GRHPR_HUMAN,GRHPR,Glyoxylate reductase/hydroxypyruvate reductase OS=Homo sapiens OX=9606 GN=GRHPR PE=1 SV=1,455504.8,467106.56,469806.67,455027.45,489139.2,473903.65,478495.21,475225.22,432778.33,421834.75,426050.81,450575.25,484561.06,489749.06,479697.23,502214.03
sp|Q8N1B4|VPS52_HUMAN,VPS52,Vacuolar protein sorting-associated protein 52 homolog OS=Homo sapiens OX=9606 GN=VPS52 PE=1 SV=1,154192.9,158712.47,172727.42,164183.51,160613.6,178522.92,170361.27,184743.59,149211.8,170508.96,168603.66,155445.03,170309.36,165566.99,173189.95,171636.96
sp|P55060|XPO2_HUMAN,CSE1L,Exportin-2 OS=Homo sapiens OX=9606 GN=CSE1L PE=1 SV=3,435177.12,442156,427092.38,422430.92,468218.52,444801.93,431887.49,410600.43,425447.53,362467.72,396140.06,403808.76,415006.9,448638.96,417160.68,453705.02
sp|Q9H9Z2|LN28A_HUMAN,LIN28A,Protein lin-28 homolog A OS=Homo sapiens OX=9606 GN=LIN28A PE=1 SV=1,1085082.44,1089443.2,1034071.92,1069817.78,1119588.65,930679.37,960147.95,761632.88,1162005.69,851725.92,836010.75,1060659.89,830574.75,1045233.09,873696.96,979657.92
sp|Q96JM2|ZN462_HUMAN,ZNF462,Zinc finger protein 462 OS=Homo sapiens OX=9606 GN=ZNF462 PE=1 SV=3,92260.02,107022.3,88795.7,76041.96,98094.54,70499.4,85980.87,75281.8,102348.48,132695.59,102691.73,120992.08,68560.8,89316.11,92943.76,94327.77
sp|O75061|AUXI_HUMAN,DNAJC6,Putative tyrosine-protein phosphatase auxilin OS=Homo sapiens OX=9606 GN=DNAJC6 PE=1 SV=3,352928.08,321092.8,335269.66,348477.84,306017.85,303541.56,356434.34,389055.53,287148.6,389837.15,341095.35,319855.29,330715.73,265603.06,365402.68,302339.14
sp|P51452|DUS3_HUMAN,DUSP3,Dual specificity protein phosphatase 3 OS=Homo sapiens OX=9606 GN=DUSP3 PE=1 SV=1,559989.14,539566.2,562977.38,546009.12,509437.89,523508.02,546438.55,556345.53,514848.48,528647.63,457234.68,501571.4,514304.14,495622.92,474127.8,503161.8
sp|Q9Y277|VDAC3_HUMAN,VDAC3,Voltage-dependent anion-selective channel protein 3 OS=Homo sapiens OX=9606 GN=VDAC3 PE=1 SV=1,2229935.41,2260977.1,2268963.67,2276895.12,2371868.47,2300123.65,2186229.58,2119940.73,2304363.39,2185806.24,2471349.81,2152475.34,2308412.25,2438036.21,2466861.08,2309902.89
sp|Q13144|EI2BE_HUMAN,EIF2B5,Translation initiation factor eIF-2B subunit epsilon OS=Homo sapiens OX=9606 GN=EIF2B5 PE=1 SV=3,222760.69,205088.2,196129.38,198157.7,215370.55,179619.99,192467.45,195425.62,165512.27,155090.13,167701.42,181522.1,181064.42,186575.14,171973.42,192672.76
sp|O43395|PRPF3_HUMAN,PRPF3,U4/U6 small nuclear ribonucleoprotein Prp3 OS=Homo sapiens OX=9606 GN=PRPF3 PE=1 SV=2,273593.59,306304.05,299754.12,295235.03,288362.24,294804.04,354615.88,340418.92,316728.41,314304.66,277890.35,334167.3,300951.8,349013.31,285319.56,287169.86
sp|Q86VP6|CAND1_HUMAN,CAND1,Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens OX=9606 GN=CAND1 PE=1 SV=2,727453.12,667639.09,711556.89,688288.48,728255.82,793028.92,732595.68,781024.06,616425.15,686934.88,669326.84,641773.85,753408.62,687351.34,770865.02,761961.22
sp|P98194|AT2C1_HUMAN,ATP2C1,Calcium-transporting ATPase type 2C member 1 OS=Homo sapiens OX=9606 GN=ATP2C1 PE=1 SV=3,258377.25,259296.57,260032.47,270489.52,256481.84,251551.33,261529.98,283977.14,248633.56,284163.44,264743,242336.33,251132.76,220991.87,241661.57,225694.54
sp|Q12888|TP53B_HUMAN,TP53BP1,TP53-binding protein 1 OS=Homo sapiens OX=9606 GN=TP53BP1 PE=1 SV=2,327760.37,361297.06,365440.99,366549.14,270723.34,278556.48,306502.64,305636.56,376582.08,395793.63,406512.38,369333.76,295383.25,246264.98,272757.78,270388.32
sp|Q8NBX0|SCPDL_HUMAN,SCCPDH,Saccharopine dehydrogenase-like oxidoreductase OS=Homo sapiens OX=9606 GN=SCCPDH PE=1 SV=1,550506.76,543754.96,523697.17,536256.93,525298.22,522871.28,498712.98,498349.96,597380.65,569828.77,573932.25,583144.98,535390.14,558170.99,540964.61,500802.38
sp|Q9H0R6|GATA_HUMAN,QRSL1,"Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial OS=Homo sapiens OX=9606 GN=QRSL1 PE=1 SV=2",163880.01,153214.64,160877.69,163949.14,159646.36,150360.99,171181.42,142216.94,173217.83,152527.68,157818.59,159543.58,142592.98,164939.42,157791.7,137095.79
sp|P78362|SRPK2_HUMAN,SRPK2,SRSF protein kinase 2 OS=Homo sapiens OX=9606 GN=SRPK2 PE=1 SV=3,224067.93,219593.54,242976.82,225536.65,196594.51,201805.98,211219.05,239127.05,213723.81,240981.06,192862.12,211134.69,210662.56,204517.74,201657.8,200305.71
sp|O95782|AP2A1_HUMAN,AP2A1,AP-2 complex subunit alpha-1 OS=Homo sapiens OX=9606 GN=AP2A1 PE=1 SV=3,542582.38,512866.84,528056.97,542863.88,505364.82,581463.65,536458.44,599120.32,484416.13,592481.08,540098.06,506787.91,561570.86,502361.46,581740.33,524802.69
sp|Q15293|RCN1_HUMAN,RCN1,Reticulocalbin-1 OS=Homo sapiens OX=9606 GN=RCN1 PE=1 SV=1,275880.41,264397.91,268353.92,252074.91,284332.69,249822.72,258891.43,250273.86,285277.61,217775.66,306121.49,238837.44,237732.23,265704.91,258889.59,259712.58
sp|O15382|BCAT2_HUMAN,BCAT2,"Branched-chain-amino-acid aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=BCAT2 PE=1 SV=2",390359.29,403724.73,395690.36,404353.92,410604.05,399344.58,385952.86,357785.04,439581.39,397350.38,409291.74,413670.14,370835.81,413658.19,401233.01,408768.81
sp|P35612|ADDB_HUMAN,ADD2,Beta-adducin OS=Homo sapiens OX=9606 GN=ADD2 PE=1 SV=3,653419.86,639128.01,661106.47,683463.4,618967.91,679822.77,673124.27,689739.72,602578.09,753946.76,687099.75,639973.65,609869.55,573767.62,671661.45,632975.56
sp|Q9UPZ6|THS7A_HUMAN,THSD7A,Thrombospondin type-1 domain-containing protein 7A OS=Homo sapiens OX=9606 GN=THSD7A PE=1 SV=4,99366.92,95909.89,107824.66,101573.26,170051.6,188536.41,184767.6,211562.24,94820.34,133915.1,115693.37,97257.86,215103.82,166539.83,194234.58,158824.06
sp|Q9UBV2|SE1L1_HUMAN,SEL1L,Protein sel-1 homolog 1 OS=Homo sapiens OX=9606 GN=SEL1L PE=1 SV=3,232069.03,249896.47,256946.72,279997.33,285971.84,264653.48,260916.11,253503.77,279440.27,279484.42,274637.75,260187.23,264572.22,272244.59,258388,266675.88
sp|P67809|YBOX1_HUMAN,YBX1,Y-box-binding protein 1 OS=Homo sapiens OX=9606 GN=YBX1 PE=1 SV=3,438928.36,443558.18,448154.86,470881.99,314374.84,348948.15,415549.28,499213.56,321398.09,591009.38,467905.2,388869.04,360999.28,249318.17,332824.54,295472.63
sp|Q7Z6I8|CE024_HUMAN,C5orf24,UPF0461 protein C5orf24 OS=Homo sapiens OX=9606 GN=C5orf24 PE=1 SV=1,159384.12,156106.08,155561.75,153309.16,154229.08,161923.36,163851.56,158937.4,173303.61,203025.59,162252.86,152113.57,161805.82,129316.53,189506.28,148150.6
