ProteinAccession,GeneName,ProteinDescription,Group1_1,Group1_2,Group1_3,Group2_1,Group2_2,Group2_3,Group3_1,Group3_2,Group3_3,Group4_1,Group4_2,Group4_3,Group5_1,Group5_2,Group5_3,Group6_1,Group6_2,Group6_3
sp|P35612|ADDB_HUMAN,ADD2,Beta-adducin OS=Homo sapiens OX=9606 GN=ADD2 PE=1 SV=3,560967.24,583232.10,615355.09,370096.91,347294.46,368841.81,627892.82,702215.10,683312.16,841045.62,860734.84,810642.17,741745.42,663600.40,719353.75,847176.60,859414.58,799435.34
tr|C9JTM0|C9JTM0_HUMAN,ADD2,Beta-adducin (Fragment) OS=Homo sapiens OX=9606 GN=ADD2 PE=1 SV=3,97477.65,98481.68,97549.73,73100.90,72836.83,70250.78,112265.44,112806.68,107508.34,135269.76,133777.00,135812.13,153939.62,157487.42,136417.50,136421.77,138407.51,130905.99
sp|P02686|MBP_HUMAN,MBP,Myelin basic protein OS=Homo sapiens OX=9606 GN=MBP PE=1 SV=3,85567.62,83328.85,113135.58,143287.19,140194.57,151819.50,119139.38,87595.77,121846.70,43230.49,51405.20,38846.83,38226.56,30776.71,40251.89,41067.66,58096.68,46569.39
sp|P14927|QCR7_HUMAN,UQCRB,Cytochrome b-c1 complex subunit 7 OS=Homo sapiens OX=9606 GN=UQCRB PE=1 SV=2,3463637.28,3671442.03,3703569.75,2752700.81,2666449.92,2957898.19,2635372.33,2718215.74,3023240.69,4504563.76,5015163.08,4644488.29,5570459.67,5493321.43,5710855.77,3137170.25,3484597.20,3292258.49
sp|P17677|NEUM_HUMAN,GAP43,Neuromodulin OS=Homo sapiens OX=9606 GN=GAP43 PE=1 SV=1,148364.84,174259.41,208600.26,238622.85,206602.81,261240.46,206279.36,143587.57,121304.34,47804.86,44778.69,41645.73,54947.35,107824.08,49835.14,101170.00,90284.53,69517.53
sp|Q9Y3P9|RBGP1_HUMAN,RABGAP1,Rab GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=RABGAP1 PE=1 SV=3,343128.13,337533.14,398082.67,609177.31,546225.99,663760.43,503372.91,392854.03,355869.78,284908.00,308584.36,273555.41,271980.20,260279.96,295352.86,452071.05,432204.67,379272.82
sp|P10636|TAU_HUMAN,MAPT,Microtubule-associated protein tau OS=Homo sapiens OX=9606 GN=MAPT PE=1 SV=5,230669.91,249478.34,252906.16,253730.44,240986.07,322806.00,338685.26,293116.53,392351.29,499068.19,553209.42,496400.27,464786.88,359667.64,467984.29,842770.25,969118.34,709562.25
sp|P10636-2|TAU_HUMAN,MAPT,Isoform Fetal-tau of Microtubule-associated protein tau OS=Homo sapiens OX=9606 GN=MAPT,94272.08,99206.68,111528.42,106718.02,95744.26,128417.33,134898.63,126994.85,135700.29,149077.90,164743.54,150134.51,139270.61,118303.71,146811.83,246395.30,284180.33,214586.03
tr|I3L2Z2|I3L2Z2_HUMAN,MAPT,Microtubule-associated protein tau OS=Homo sapiens OX=9606 GN=MAPT PE=1 SV=1,230669.91,249478.34,252906.16,253730.44,240986.07,322806.00,338685.26,293116.53,392351.29,499068.19,553209.42,496400.27,464786.88,359667.64,467984.29,842770.25,969118.34,709562.25
sp|P05387|RLA2_HUMAN,RPLP2,60S acidic ribosomal protein P2 OS=Homo sapiens OX=9606 GN=RPLP2 PE=1 SV=1,9072568.42,8008664.90,11134037.08,8674574.60,7986324.65,8882416.02,12413217.35,9034174.91,10083987.16,10327675.12,12574019.49,10143434.59,12743914.72,9010944.55,12374332.72,12179106.67,15345021.05,11059391.55
sp|O00264|PGRC1_HUMAN,PGRMC1,Membrane-associated progesterone receptor component 1 OS=Homo sapiens OX=9606 GN=PGRMC1 PE=1 SV=3,1300465.60,1344354.36,1405180.06,947333.41,903397.09,966909.59,1066473.71,924566.24,885269.24,2020389.16,2109618.20,2055267.36,1902950.12,1896811.05,1993442.15,1478697.57,1399100.83,1423889.84
sp|P09429|HMGB1_HUMAN,HMGB1,High mobility group protein B1 OS=Homo sapiens OX=9606 GN=HMGB1 PE=1 SV=3,79794.65,98805.77,158637.30,100427.70,73834.76,132711.87,266463.96,163040.61,150079.35,88220.33,107900.97,85354.48,35024.72,21916.53,37162.55,203268.44,216591.32,189727.54
sp|P09493|TPM1_HUMAN,TPM1,Tropomyosin alpha-1 chain OS=Homo sapiens OX=9606 GN=TPM1 PE=1 SV=2,7955473.19,7234796.05,11240183.23,4282203.59,3902351.61,4887798.67,7794643.35,4721514.09,5439660.56,4246494.18,5311898.99,3682184.48,4356369.24,2857672.36,5025048.26,3564879.11,4801115.98,3450717.51
sp|P09493-2|TPM1_HUMAN,TPM1,Isoform 2 of Tropomyosin alpha-1 chain OS=Homo sapiens OX=9606 GN=TPM1,7955473.19,7234796.05,11240183.23,4282203.59,3902351.61,4887798.67,7794643.35,4721514.09,5439660.56,4246494.18,5311898.99,3682184.48,4356369.24,2857672.36,5025048.26,3564879.11,4801115.98,3450717.51
sp|P09493-6|TPM1_HUMAN,TPM1,Isoform 6 of Tropomyosin alpha-1 chain OS=Homo sapiens OX=9606 GN=TPM1,7955473.19,7234796.05,11240183.23,4282203.59,3902351.61,4887798.67,7794643.35,4721514.09,5439660.56,4246494.18,5311898.99,3682184.48,4356369.24,2857672.36,5025048.26,3564879.11,4801115.98,3450717.51
sp|P09493-10|TPM1_HUMAN,TPM1,Isoform 10 of Tropomyosin alpha-1 chain OS=Homo sapiens OX=9606 GN=TPM1,7955473.19,7234796.05,11240183.23,4282203.59,3902351.61,4887798.67,7794643.35,4721514.09,5439660.56,4246494.18,5311898.99,3682184.48,4356369.24,2857672.36,5025048.26,3564879.11,4801115.98,3450717.51
tr|Q6ZN40|Q6ZN40_HUMAN,TPM1,"Tropomyosin 1 (Alpha), isoform CRA_f OS=Homo sapiens OX=9606 GN=TPM1 PE=1 SV=1",7955473.19,7234796.05,11240183.23,4282203.59,3902351.61,4887798.67,7794643.35,4721514.09,5439660.56,4246494.18,5311898.99,3682184.48,4356369.24,2857672.36,5025048.26,3564879.11,4801115.98,3450717.51
tr|B7Z596|B7Z596_HUMAN,TPM1,Tropomyosin alpha-1 chain OS=Homo sapiens OX=9606 GN=TPM1 PE=1 SV=1,6771665.49,6455135.02,8702917.64,4185037.10,3785014.67,4701434.08,5906443.49,4542646.81,4594087.82,4823841.42,5795246.71,4453899.73,5112520.70,3666318.50,5674080.95,3933515.17,4747542.00,3758967.99
sp|P49006|MRP_HUMAN,MARCKSL1,MARCKS-related protein OS=Homo sapiens OX=9606 GN=MARCKSL1 PE=1 SV=2,3172643.77,3191725.31,3444280.58,1904308.77,1681820.47,1946691.77,3176629.65,3250465.99,2853075.82,4006425.54,4096190.04,3895269.36,3630830.16,3374130.27,3546254.90,4037551.89,4059787.88,3988196.54
sp|O76070|SYUG_HUMAN,SNCG,Gamma-synuclein OS=Homo sapiens OX=9606 GN=SNCG PE=1 SV=2,397433.58,390099.55,398228.40,405295.74,387753.35,400048.03,420981.80,408770.25,660903.99,1510250.23,1533328.90,1480918.17,1638931.05,1314880.92,1617662.69,2180385.11,2555442.36,2124539.03
sp|P06753|TPM3_HUMAN,TPM3,Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=2,332868.93,321336.00,398499.32,96460.48,100398.77,118120.29,200507.95,148179.02,109321.48,76161.02,80873.30,75625.28,86876.51,74059.72,91698.76,92709.76,76428.89,77741.17
sp|P41236|IPP2_HUMAN,PPP1R2,Protein phosphatase inhibitor 2 OS=Homo sapiens OX=9606 GN=PPP1R2 PE=1 SV=2,649292.74,632148.59,736092.36,732099.23,692119.78,748450.55,841051.79,789422.83,837628.15,586031.55,638300.83,581393.73,601339.70,504462.10,583950.25,833210.52,895225.28,786174.42
sp|P09669|COX6C_HUMAN,COX6C,Cytochrome c oxidase subunit 6C OS=Homo sapiens OX=9606 GN=COX6C PE=1 SV=2,11748587.23,11448712.76,10758279.83,7505028.63,6810273.12,7515719.22,7436758.55,8077115.76,8769891.26,13347787.36,13150171.59,13564001.60,12906117.85,14611476.88,13833293.89,7585801.02,8349851.18,8131461.53
tr|C9J5N1|C9J5N1_HUMAN,PTGES3L-AARSD1,PTGES3L-AARSD1 readthrough OS=Homo sapiens OX=9606 GN=PTGES3L-AARSD1 PE=1 SV=1,450917.32,438482.21,445081.73,496011.64,527018.64,475484.80,518763.46,597464.77,600405.85,441729.29,423638.97,426501.03,585645.59,612592.10,550329.69,550892.83,541621.03,547543.37
sp|O95182|NDUA7_HUMAN,NDUFA7,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 OS=Homo sapiens OX=9606 GN=NDUFA7 PE=1 SV=3,1485929.25,1549051.27,1480365.26,1174554.95,1124376.51,1230605.88,1174337.96,1190091.57,1130903.20,1738859.63,1741544.24,1736491.91,1558502.94,1482963.20,1551337.49,1212888.56,1163627.22,1201871.53
sp|O95168|NDUB4_HUMAN,NDUFB4,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4 OS=Homo sapiens OX=9606 GN=NDUFB4 PE=1 SV=3,3323350.91,3295759.92,3142512.01,2706487.38,2464725.97,2741409.06,2440965.32,2587141.53,2393554.68,3643194.77,3390216.77,3404349.01,3093466.92,3303595.07,3224109.88,2442782.77,2329240.95,2490496.90
sp|P14621|ACYP2_HUMAN,ACYP2,Acylphosphatase-2 OS=Homo sapiens OX=9606 GN=ACYP2 PE=1 SV=2,115786.99,128547.32,120319.64,130433.18,131156.07,137124.95,148785.69,148748.74,143738.29,137129.95,122024.64,139820.54,133978.25,150620.38,137341.49,160750.44,147008.56,151507.46
sp|Q9UKY7|CDV3_HUMAN,CDV3,Protein CDV3 homolog OS=Homo sapiens OX=9606 GN=CDV3 PE=1 SV=1,344523.98,350215.33,400377.12,518076.57,458842.91,548859.09,538629.00,458422.01,478697.10,349578.19,355423.47,362955.15,382872.40,327190.87,368044.23,580432.08,566906.60,521205.05
sp|Q9UKY7-3|CDV3_HUMAN,CDV3,Isoform 3 of Protein CDV3 homolog OS=Homo sapiens OX=9606 GN=CDV3,295542.57,311997.82,336292.28,450323.48,393273.76,476265.86,441110.75,410272.68,413933.57,301944.57,297399.24,308931.12,325506.37,296462.76,307528.66,491534.30,447688.84,432120.85
sp|P05026|AT1B1_HUMAN,ATP1B1,Sodium/potassium-transporting ATPase subunit beta-1 OS=Homo sapiens OX=9606 GN=ATP1B1 PE=1 SV=1,1808693.88,1804014.74,2269190.06,2188463.65,2030261.51,2319217.13,1586076.90,1172920.63,1169735.36,1267550.15,1486295.78,1250651.37,1257074.39,1017170.33,1418647.55,943043.42,1055638.54,890499.97
sp|P67936|TPM4_HUMAN,TPM4,Tropomyosin alpha-4 chain OS=Homo sapiens OX=9606 GN=TPM4 PE=1 SV=3,9667843.71,9359045.52,8522388.69,6733688.56,6666837.38,6767610.65,9257519.76,9798850.34,11199858.37,5431783.93,5260912.18,5438665.27,7223607.97,7352782.33,6776057.40,5423204.46,5217901.65,5548683.46
sp|P67936-2|TPM4_HUMAN,TPM4,Isoform 2 of Tropomyosin alpha-4 chain OS=Homo sapiens OX=9606 GN=TPM4,5934886.92,5004264.86,5686232.87,3743878.78,3975110.19,3323670.53,5052084.42,4956473.25,6134630.87,3840271.46,4342082.28,3826804.31,3787083.61,4023100.64,4060015.96,3360829.28,3647349.22,3266057.85
sp|P04792|HSPB1_HUMAN,HSPB1,Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2,9565848.95,9967153.19,9940026.12,8268720.94,8843329.51,8485161.57,10305225.15,7897035.24,7528467.40,9482256.42,9377780.65,9600716.19,12634190.12,12436704.07,11889191.39,8225681.16,7661127.88,7226863.91
sp|Q5SSJ5|HP1B3_HUMAN,HP1BP3,Heterochromatin protein 1-binding protein 3 OS=Homo sapiens OX=9606 GN=HP1BP3 PE=1 SV=1,636786.73,671774.87,632486.46,860035.43,981210.50,859376.08,558479.86,528640.74,780306.74,928238.25,972945.56,1039152.40,654196.54,676434.32,700380.44,481779.35,487867.28,472728.26
sp|P08670|VIME_HUMAN,VIM,Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4,41220241.18,41058216.10,40563569.01,32024812.68,32066514.12,32911070.22,31402527.94,31528849.57,40110791.54,12685914.33,12338287.22,12841646.40,15571688.73,15850280.01,14679232.38,11724311.92,9810077.81,9976536.27
sp|O75947|ATP5H_HUMAN,ATP5PD,"ATP synthase subunit d, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PD PE=1 SV=3",8755240.83,9104849.52,9641161.36,7320173.02,6514322.01,7954889.63,6766235.81,6137325.30,6429158.48,11112414.99,11760200.31,11088735.82,10382977.07,10455808.06,11885180.09,7364420.36,7870822.99,7108261.17
sp|P58546|MTPN_HUMAN,MTPN,Myotrophin OS=Homo sapiens OX=9606 GN=MTPN PE=1 SV=2,751740.12,807918.08,919678.29,1049479.95,1065733.83,1073803.18,1050916.63,1014774.56,1054760.75,747503.75,746356.22,722856.67,825802.35,811030.19,871546.27,898758.80,991611.30,941191.04
tr|C9JFL5|C9JFL5_HUMAN,ACTG2,"Actin, gamma-enteric smooth muscle (Fragment) OS=Homo sapiens OX=9606 GN=ACTG2 PE=1 SV=8",103881.69,105958.73,102429.52,113964.70,102145.44,109772.73,115054.53,116384.29,110395.18,109902.35,97443.29,112467.54,105201.02,115307.44,109144.19,108518.94,103515.49,111082.93
sp|Q9NZ45|CISD1_HUMAN,CISD1,CDGSH iron-sulfur domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CISD1 PE=1 SV=1,4398964.27,4411471.80,4411271.89,4032196.51,3829483.47,4181623.14,3727118.50,2934490.57,2911879.31,5144274.04,5326738.01,5177211.16,4019850.78,3828279.80,4515307.24,3530805.31,3715725.45,3468012.11
sp|P56211|ARP19_HUMAN,ARPP19,cAMP-regulated phosphoprotein 19 OS=Homo sapiens OX=9606 GN=ARPP19 PE=1 SV=2,385611.35,438307.00,415075.72,422009.72,389993.34,468936.44,562437.01,519225.92,447764.53,429168.18,402070.14,416088.79,335914.09,301542.60,324870.09,754928.84,594805.42,690397.67
tr|K7EM38|K7EM38_HUMAN,ACTG1,"Actin, cytoplasmic 2 (Fragment) OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1",96804.44,108307.55,118587.18,116524.12,106126.08,108369.98,92787.04,84510.46,101183.23,131774.41,145741.07,129270.66,122908.26,122756.96,162330.81,113181.13,121541.11,88313.71
sp|P04075|ALDOA_HUMAN,ALDOA,Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2,10512022.46,10621562.14,10629319.54,13739477.95,13470283.73,13949422.49,11520585.60,11500889.22,12934898.53,11229101.14,10754725.02,10984285.90,12750709.85,12016474.08,12195789.31,14930320.90,14693259.59,12764600.40
sp|Q9UI09|NDUAC_HUMAN,NDUFA12,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 OS=Homo sapiens OX=9606 GN=NDUFA12 PE=1 SV=1,1278105.92,1246260.58,1362471.43,1162018.52,1145553.53,1221596.35,1118222.18,975345.24,847223.35,1409323.96,1542995.97,1419023.38,1256933.79,1210750.31,1378384.73,1044170.07,1070556.49,1123321.19
sp|Q8N6N7|ACBD7_HUMAN,ACBD7,Acyl-CoA-binding domain-containing protein 7 OS=Homo sapiens OX=9606 GN=ACBD7 PE=1 SV=1,964298.93,923246.04,931114.23,654852.04,661358.60,664756.57,1177404.62,1105205.40,1174374.27,1629310.52,1596582.88,1617485.87,1997142.44,1886897.79,1832834.85,2297792.03,2511330.04,2571763.60
sp|P23528|COF1_HUMAN,CFL1,Cofilin-1 OS=Homo sapiens OX=9606 GN=CFL1 PE=1 SV=3,4893735.81,4858011.22,4882737.82,5230252.87,5034620.23,5056082.42,6003724.43,6292932.79,6343986.90,4438832.64,4415106.36,4445380.19,5859083.86,5587159.77,5732044.44,5285638.43,5459474.24,5360001.59
sp|Q9UII2|ATIF1_HUMAN,ATP5IF1,"ATPase inhibitor, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5IF1 PE=1 SV=1",3947128.31,4600860.50,4111204.88,3613588.62,3172837.28,3661906.79,2789210.67,2957363.94,3416105.58,4852997.60,5164168.69,4352656.65,4142284.16,3805947.33,4469240.07,3214339.80,2806946.27,3151306.98
sp|Q99497|PARK7_HUMAN,PARK7,Parkinson disease protein 7 OS=Homo sapiens OX=9606 GN=PARK7 PE=1 SV=2,8535684.35,9041780.21,9104069.74,11001353.86,10145910.69,11321607.35,11278366.97,11946776.12,11145925.45,8972770.18,8853731.10,8540803.37,9334810.36,7780602.46,8880363.79,12101672.75,11618017.62,11884045.60
sp|Q9Y266|NUDC_HUMAN,NUDC,Nuclear migration protein nudC OS=Homo sapiens OX=9606 GN=NUDC PE=1 SV=1,2766381.18,2857389.26,2731075.33,3614290.65,3282680.97,3785579.39,3991417.47,3877869.02,3305885.44,3015641.02,2978283.96,3016627.79,3736381.81,3333940.61,3655838.20,4502147.78,4251392.90,4338090.81
sp|P50395|GDIB_HUMAN,GDI2,Rab GDP dissociation inhibitor beta OS=Homo sapiens OX=9606 GN=GDI2 PE=1 SV=2,9150693.56,9177476.54,9811320.60,10021600.05,9479364.82,10605104.66,12388166.88,11536455.23,11487720.55,9371815.53,9453168.86,9345471.44,9744949.43,8578736.61,9404023.37,13248532.76,14314147.94,12641509.29
sp|Q9NYI0|PSD3_HUMAN,PSD3,PH and SEC7 domain-containing protein 3 OS=Homo sapiens OX=9606 GN=PSD3 PE=1 SV=2,99985.68,103792.01,106279.04,113682.93,109714.09,111901.03,109769.46,112749.55,110307.81,108727.78,110409.75,105157.35,121658.58,130599.71,115443.10,119627.65,117144.91,117232.85
sp|Q9Y2J2|E41L3_HUMAN,EPB41L3,Band 4.1-like protein 3 OS=Homo sapiens OX=9606 GN=EPB41L3 PE=1 SV=2,1781728.77,1769236.50,1783629.17,1376917.35,1287244.50,1400158.94,1809653.20,1882752.48,1985725.94,1902936.17,1967162.28,1929141.70,2058152.92,1954404.07,1973717.18,2121513.75,1921892.42,2229751.64
sp|Q9Y2J2-2|E41L3_HUMAN,EPB41L3,Isoform 2 of Band 4.1-like protein 3 OS=Homo sapiens OX=9606 GN=EPB41L3,1757214.35,1774753.70,1838237.10,1376074.70,1278984.13,1422938.01,1869590.34,1868689.96,1942241.16,1927679.71,2006506.83,1930842.76,1951835.32,1787934.78,1896005.70,2228774.14,2015995.53,2274920.21
tr|A0A0A0MSA4|A0A0A0MSA4_HUMAN,EPB41L3,Band 4.1-like protein 3 OS=Homo sapiens OX=9606 GN=EPB41L3 PE=1 SV=1,1796428.25,1792002.36,1814826.43,1366271.42,1273459.71,1394994.21,1849015.05,1914226.55,2012637.67,1902646.72,1959149.11,1908923.58,2008953.98,1885159.74,1929002.81,2143210.76,1949692.11,2242587.70
tr|A0A0A0MRA8|A0A0A0MRA8_HUMAN,EPB41L3,Band 4.1-like protein 3 OS=Homo sapiens OX=9606 GN=EPB41L3 PE=1 SV=1,1796428.25,1792002.36,1814826.43,1366271.42,1273459.71,1394994.21,1849015.05,1914226.55,2012637.67,1902646.72,1959149.11,1908923.58,2008953.98,1885159.74,1929002.81,2143210.76,1949692.11,2242587.70
tr|A0A0J9YWN0|A0A0J9YWN0_HUMAN,EPB41L3,Band 4.1-like protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=EPB41L3 PE=1 SV=3,780787.86,826544.57,902328.93,676875.98,613880.03,718249.13,913120.56,814476.79,800601.77,1032646.24,1056963.54,1000600.34,875605.20,769089.39,880863.02,1266034.60,1160248.51,1164055.45
tr|B7Z2G3|B7Z2G3_HUMAN,NA,"cDNA FLJ53317, highly similar to Band 4.1-like protein 3 OS=Homo sapiens OX=9606 PE=2 SV=1",1698267.23,1653112.82,1682537.23,1310136.92,1248573.26,1318703.99,1678080.72,1765515.33,1887471.74,1760509.97,1863980.17,1818243.02,2016986.70,1885806.24,1927213.27,1957882.64,1755407.88,2124079.47
sp|Q5BKZ1|ZN326_HUMAN,ZNF326,DBIRD complex subunit ZNF326 OS=Homo sapiens OX=9606 GN=ZNF326 PE=1 SV=2,861770.64,898722.16,938961.24,642768.36,632429.58,666167.79,819220.36,789046.00,757420.82,998411.20,1047079.45,980877.46,675274.83,609491.24,688411.96,842514.28,821849.66,806514.08
sp|P04406|G3P_HUMAN,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,55440087.81,56623840.92,55017473.50,84027473.80,86675324.80,81032307.14,69235076.12,64853871.74,64752369.25,66620210.24,64505423.11,66052494.98,120939529.90,125087113.40,114001939.40,89616262.08,93362497.46,90050543.18
sp|P04406-2|G3P_HUMAN,GAPDH,Isoform 2 of Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH,56299828.36,56890102.10,55150035.80,83479309.67,86071287.36,80324575.33,70059498.84,64931529.91,65393135.62,66541724.26,64528047.40,66676470.73,120469402.90,124707535.90,112644107.90,89454526.50,93090878.15,89333473.38
sp|P84157|MXRA7_HUMAN,MXRA7,Matrix-remodeling-associated protein 7 OS=Homo sapiens OX=9606 GN=MXRA7 PE=1 SV=1,150812.96,161604.70,160863.03,99033.59,93031.56,104639.15,124371.99,110945.10,113918.88,148477.08,157696.52,157291.21,132183.27,128809.41,127213.05,117290.74,104100.72,106671.49
sp|P84157-2|MXRA7_HUMAN,MXRA7,Isoform 2 of Matrix-remodeling-associated protein 7 OS=Homo sapiens OX=9606 GN=MXRA7,223776.45,239575.81,240392.49,150972.91,140371.92,157906.93,185761.31,165195.74,173224.83,221441.82,234528.99,233688.69,193411.67,186718.39,185830.31,173514.15,157113.00,158724.81
sp|P35611|ADDA_HUMAN,ADD1,Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=2,2590011.16,2574943.66,2799394.33,2150649.45,2163726.12,2228033.37,2969894.79,2612972.66,2732330.79,2444777.92,2257230.52,2260934.05,2257055.16,2115391.45,2195051.03,2514229.74,2687011.18,2101361.57
sp|P35611-2|ADDA_HUMAN,ADD1,Isoform 2 of Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1,2577554.05,2588484.84,2760377.26,2137813.89,2131600.40,2220099.89,2950813.37,2640667.99,2710911.62,2460901.79,2258597.01,2287229.08,2251715.70,2148923.63,2198069.81,2523934.41,2666644.52,2127107.20
sp|P35611-4|ADDA_HUMAN,ADD1,Isoform 4 of Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1,2577554.05,2588484.84,2760377.26,2137813.89,2131600.40,2220099.89,2950813.37,2640667.99,2710911.62,2460901.79,2258597.01,2287229.08,2251715.70,2148923.63,2198069.81,2523934.41,2666644.52,2127107.20
sp|P31150|GDIA_HUMAN,GDI1,Rab GDP dissociation inhibitor alpha OS=Homo sapiens OX=9606 GN=GDI1 PE=1 SV=2,1077312.89,1055929.23,1125217.56,1243367.19,1184777.67,1292890.12,1402839.78,1293212.46,1208448.08,1475833.04,1440637.88,1427733.76,1686222.20,1544617.29,1706409.55,2077132.91,1963004.12,2072933.57
sp|P27824|CALX_HUMAN,CANX,Calnexin OS=Homo sapiens OX=9606 GN=CANX PE=1 SV=2,16671683.36,17267546.17,21004801.85,17760795.32,16309198.68,18972824.13,15095705.43,11333454.86,10761666.04,21504685.73,24536864.02,21361564.92,21397008.00,18054661.51,24473248.86,15571980.04,16563170.02,14963918.25
sp|Q16555|DPYL2_HUMAN,DPYSL2,Dihydropyrimidinase-related protein 2 OS=Homo sapiens OX=9606 GN=DPYSL2 PE=1 SV=1,3932966.40,3875043.31,3825866.07,5131069.03,5353600.01,5048095.29,5079421.21,5100443.80,4903235.24,4552040.37,4512416.99,4498437.68,5899618.03,5924595.10,5792566.10,5822482.62,6046727.52,6238317.60
