protein,species,quant,EA100915_05,EA100915_06,EA100915_09,EA100915_10,EA100915_13,EA100915_14,EA100915_18,EA100915_21,EA100915_25,EA100915_26,EA100915_29,EA100915_30,EA100915_33,EA100915_34,EA100915_38,EA100915_41
>sp|E9PRG8|CK098_HUMAN Uncharacterized protein C11orf98 OS=Homo sapiens GN=C11orf98 PE=4 SV=1,human,dia,122234.5156,94152.61967,148371.6109,140108.2077,121880.0023,97088.2656,112344.9518,182389.8304,157165.1424,113375.268,125607.0849,160326.1463,193273.3806,176506.8457,146672.8942,160516.464
>sp|H7BZ55|CRCC2_HUMAN Putative ciliary rootlet coiled-coil protein 2 OS=Homo sapiens GN=CROCC2 PE=5 SV=3,human,dia,523854.4688,392165.8546,5957.928043,440521.8241,NA,6169.049773,5474.992271,319436.7942,318934.2469,13988.65469,405453.6616,275137.8738,52711.47982,461919.3102,693947.2601,17297.43481
>sp|I3L3R5|CCER2_HUMAN Coiled-coil domain-containing glutamate-rich protein 2 OS=Homo sapiens GN=CCER2 PE=2 SV=1,human,dia,504381.4688,321359.8853,409140.7074,306370.8163,303473.2163,362042.4037,398732.7746,346457.7293,338432.296,474671.6234,306207.787,342955.4603,367385.7463,298641.7195,410780.7964,438724.3673
>sp|L0R6Q1|S35U4_HUMAN SLC35A4 upstream open reading frame protein OS=Homo sapiens GN=SLC35A4 PE=3 SV=1,human,dia,96662.60938,46039.51289,61536.29607,73229.89301,86986.75209,71406.01216,68954.11634,111645.1436,83344.98008,75904.43724,91609.06887,81948.51938,63529.81341,105760.8963,78943.55548,69045.51053
>sp|O00115|DNS2A_HUMAN Deoxyribonuclease-2-alpha OS=Homo sapiens GN=DNASE2 PE=1 SV=2,human,dia,259914.1251,281427.7635,340381.8276,331528.5423,304072.7657,279891.898,287292.7887,308489.1101,363682.4652,275343.6655,341175.9953,190253.3261,365131.071,254509.7442,331972.2655,400004.5676
>sp|O00139|KIF2A_HUMAN Kinesin-like protein KIF2A OS=Homo sapiens GN=KIF2A PE=1 SV=3,human,dia,139472.5313,157339.8331,113766.7596,116259.8516,157152.1058,150551.4633,155107.3231,143307.0869,124444.439,135586.9297,92166.49282,96422.64386,118945.2198,124213.5607,92025.35368,172357.892
>sp|O00148|DX39A_HUMAN ATP-dependent RNA helicase DDX39A OS=Homo sapiens GN=DDX39A PE=1 SV=2,human,dia,7965046.538,9013726.524,7946047.514,8837773.06,7453125.542,7428503.154,9597045.053,9278717.709,7780473.38,7112383.975,8280790.094,8322431.225,8228929.736,6856244.336,9953938.309,7951115.397
>sp|O00151|PDLI1_HUMAN PDZ and LIM domain protein 1 OS=Homo sapiens GN=PDLIM1 PE=1 SV=4,human,dia,625271.2656,575065.0851,754160.1114,765243.2688,569541.9336,770550.9163,876079.3377,951042.702,539184.7436,506830.5912,552095.0335,577629.3449,665872.056,628625.9756,579956.4503,683946
>sp|O00159|MYO1C_HUMAN Unconventional myosin-Ic OS=Homo sapiens GN=MYO1C PE=1 SV=4,human,dia,1949548.172,1760271.117,2122940.955,1525659.235,1806282.811,1930114.328,2025939.38,1759801.446,1482415.658,1860261.886,2144574.317,1748401.765,1470000.001,1828088.635,1863300.855,1709697.339
>sp|O00161|SNP23_HUMAN Synaptosomal-associated protein 23 OS=Homo sapiens GN=SNAP23 PE=1 SV=1,human,dia,170162.6094,39890.69042,101994.9701,191127.8207,188634.0758,190919.648,336519.9228,280929.9547,246286.4765,117039.7836,167136.4769,217295.3662,140593.0215,220582.6027,164657.5612,230522.1763
>sp|O00170|AIP_HUMAN AH receptor-interacting protein OS=Homo sapiens GN=AIP PE=1 SV=2,human,dia,245020.918,275103.4494,314157.3588,226302.8234,236216.0917,249087.6463,378352.3818,289358.9926,136167.9021,262252.0095,330129.1812,262960.9324,299441.1879,403576.7171,294583.4485,187841.4797
>sp|O00186|STXB3_HUMAN Syntaxin-binding protein 3 OS=Homo sapiens GN=STXBP3 PE=1 SV=2,human,dia,116158.5313,127682.7035,107172.9695,85766.50765,64252.06234,118194.1954,143609.5976,108706.1966,62681.48081,124278.348,111365.2199,94833.20686,134926.0537,61206.09211,97249.33899,114897.925
>sp|O00193|SMAP_HUMAN Small acidic protein OS=Homo sapiens GN=SMAP PE=1 SV=1,human,dia,74263.39844,43192.17274,66190.38569,95578.95353,64493.75713,82908.84417,53003.8496,87622.2274,84333.86787,86119.50471,115630.2666,67730.77175,123231.2785,86606.73405,52089.41919,78666.37035
>sp|O00194|RB27B_HUMAN Ras-related protein Rab-27B OS=Homo sapiens GN=RAB27B PE=1 SV=4,human,dia,245081.4531,168282.3247,147270.1248,201809.6129,152540.6047,116506.4936,171255.9238,157372.245,164224.2953,152442.1174,192932.8141,207494.8864,160098.0302,148539.1841,175232.9046,242654.9157
>sp|O00203|AP3B1_HUMAN AP-3 complex subunit beta-1 OS=Homo sapiens GN=AP3B1 PE=1 SV=3,human,dia,468512.1915,311548.6535,360344.6106,444705.1431,398554.0873,373395.0492,354538.6545,396117.7802,318912.4793,381868.8586,370452.1311,362104.2977,383644.0189,372525.4892,377094.6431,429049.6392
>sp|O00204|ST2B1_HUMAN Sulfotransferase family cytosolic 2B member 1 OS=Homo sapiens GN=SULT2B1 PE=1 SV=2,human,dia,114097.1953,23018.5912,74618.05626,52483.92573,72295.16816,70564.54288,89646.28802,79611.87006,74077.31493,38483.90326,61493.3003,46585.70027,66098.95876,88331.5741,91274.81773,44390.7314
">sp|O00217|NDUS8_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial OS=Homo sapiens GN=NDUFS8 PE=1 SV=1",human,dia,145814.2188,146567.6235,154889.6559,174023.7935,122248.2477,156984.4234,114863.7686,111832.8511,141105.1442,136007.4157,94727.2267,99504.09261,117331.2701,109064.6698,129479.696,108852.7087
>sp|O00231|PSD11_HUMAN 26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens GN=PSMD11 PE=1 SV=3,human,dia,2737110.246,2740088.083,3190254.782,3301737.651,3121444.964,2888361.93,3298875.399,3541462.041,3012551.814,2706357.224,3158662.492,2873658.174,2906921.305,3616129.303,3154584.727,2963161.778
>sp|O00232|PSD12_HUMAN 26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens GN=PSMD12 PE=1 SV=3,human,dia,1982752.697,1565337.776,1847027.638,1838979.491,1850682.1,1474339.437,1505930.182,1788582.181,1893141.074,1707010.301,1934030.195,1663824.749,1772384.72,1915925.279,1598257.54,1848260.286
>sp|O00233|PSMD9_HUMAN 26S proteasome non-ATPase regulatory subunit 9 OS=Homo sapiens GN=PSMD9 PE=1 SV=3,human,dia,384052.8984,518367.379,545088.7926,529294.8379,521210.3468,541330.9495,447154.1154,568575.4103,409969.754,529793.6195,542132.8111,547216.5049,658752.0167,579948.1568,523583.9289,596772.9339
>sp|O00244|ATOX1_HUMAN Copper transport protein ATOX1 OS=Homo sapiens GN=ATOX1 PE=1 SV=1,human,dia,71293.10156,53203.45483,53326.71268,79218.80734,49786.23021,86322.16866,47780.81066,69392.42263,92253.45164,86536.60317,43463.77897,91833.85893,99496.88513,76842.67915,101300.5676,95685.29969
>sp|O00255|MEN1_HUMAN Menin OS=Homo sapiens GN=MEN1 PE=1 SV=4,human,dia,20889.11328,15222.17904,6625.075366,7910.803478,7742.344371,NA,15266.56923,12146.45719,8165.303969,21187.14742,22252.41993,10480.74186,20384.29411,20971.11695,19254.64077,20237.83833
>sp|O00264|PGRC1_HUMAN Membrane-associated progesterone receptor component 1 OS=Homo sapiens GN=PGRMC1 PE=1 SV=3,human,dia,1524019.656,1389351.609,1106189.858,1221624.473,1289350.102,1236487.687,1178403.732,1580580.664,1471288.947,1203240.765,1307885.183,1148825.983,808489.8723,1439862.173,1551629.751,1477603.002
>sp|O00299|CLIC1_HUMAN Chloride intracellular channel protein 1 OS=Homo sapiens GN=CLIC1 PE=1 SV=4,human,dia,7671182.371,7113800.891,8301443.119,7680128.986,7696008.04,8083006.569,8467278.318,7749519.543,7730962.625,8109893.635,8061980.155,7498698.042,6554122.158,7839970.657,8236395.664,7338230.316
>sp|O00303|EIF3F_HUMAN Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens GN=EIF3F PE=1 SV=1,human,dia,1307801.008,1430717.102,1493183.669,1273526.11,1237267.963,896579.6264,1500314.057,1240095.514,1101425.338,1287542.57,1296455.983,1179368.42,1221127.559,1131587.501,1204900.417,1228909.106
>sp|O00401|WASL_HUMAN Neural Wiskott-Aldrich syndrome protein OS=Homo sapiens GN=WASL PE=1 SV=2,human,dia,19744.58203,13716.41098,6471.350706,14512.61575,14381.21678,13747.71499,16103.3759,14822.11646,17488.76244,12716.53527,18404.29889,4685.674134,11391.35264,6922.411156,18994.65506,7129.781218
>sp|O00410|IPO5_HUMAN Importin-5 OS=Homo sapiens GN=IPO5 PE=1 SV=4,human,dia,2088092.158,1948925.505,2290826.28,1951862.939,1627668.725,2084748.963,1775741.071,1684718.178,1757643.03,1756316.439,2173385.295,1950704.274,1932501.547,1713105.69,1534616.042,2044659.989
>sp|O00422|SAP18_HUMAN Histone deacetylase complex subunit SAP18 OS=Homo sapiens GN=SAP18 PE=1 SV=1,human,dia,407147.5342,631963.0814,644342.0288,593843.1453,563159.8885,600907.9401,645010.4428,594957.2274,584460.6229,447978.3476,534614.4204,720097.8713,614491.3577,533136.7408,544739.1233,664903.107
>sp|O00429|DNM1L_HUMAN Dynamin-1-like protein OS=Homo sapiens GN=DNM1L PE=1 SV=2,human,dia,273964.0313,277869.811,217940.6588,274975.88,246454.682,256919.8869,235912.7831,203819.6828,268153.3784,234068.6791,317438.157,201500.1557,291395.9913,219029.3406,190607.7043,211679.8926
>sp|O00442|RTCA_HUMAN RNA 3'-terminal phosphate cyclase OS=Homo sapiens GN=RTCA PE=1 SV=1,human,dia,24600.13769,28688.04926,30828.57571,32343.28846,32814.65732,43097.27524,56782.87084,27917.1743,72503.97283,20420.83254,25071.15365,36240.8046,57690.06776,23223.49644,27324.37169,23680.23526
>sp|O00483|NDUA4_HUMAN Cytochrome c oxidase subunit NDUFA4 OS=Homo sapiens GN=NDUFA4 PE=1 SV=1,human,dia,496931.7891,441603.0132,569699.7983,494127.8792,291852.96,540106.0554,539027.7112,530469.4506,393621.1523,338824.4059,325461.1036,542458.028,320205.5609,411159.1089,474808.4612,565177.3946
>sp|O00487|PSDE_HUMAN 26S proteasome non-ATPase regulatory subunit 14 OS=Homo sapiens GN=PSMD14 PE=1 SV=1,human,dia,1415264.414,1259292.996,1169816.002,1623434.259,1295699.317,1360320.236,1153412.256,1174562.046,1265981.711,1100906.33,1194144.433,1427869.445,1130617.218,1224915.614,1149897.916,1199961.788
>sp|O00505|IMA4_HUMAN Importin subunit alpha-4 OS=Homo sapiens GN=KPNA3 PE=1 SV=2,human,dia,151749.7666,179590.1109,193478.4023,204805.5152,196830.1932,172810.3105,106047.9381,164966.8823,181340.4061,140168.044,195423.0125,202112.3674,175586.6668,147937.6345,102834.7131,145159.4026
>sp|O00515|LAD1_HUMAN Ladinin-1 OS=Homo sapiens GN=LAD1 PE=1 SV=2,human,dia,158361.0191,130319.5498,176921.3017,84688.70552,109631.3989,101186.6433,147576.2794,128587.269,116137.7233,199711.4379,171556.4071,163827.3213,134672.9335,118127.6231,151244.5321,131028.1644
>sp|O00541|PESC_HUMAN Pescadillo homolog OS=Homo sapiens GN=PES1 PE=1 SV=1,human,dia,1158969.918,1214731.653,1216820.686,1165905.6,1197601.976,1013875.032,1064638.713,1160508.105,1017322.151,821784.5045,1074760.605,1040831.776,1021502.28,892727.0631,1168860.237,1099195.399
>sp|O00566|MPP10_HUMAN U3 small nucleolar ribonucleoprotein protein MPP10 OS=Homo sapiens GN=MPHOSPH10 PE=1 SV=2,human,dia,16315.45313,86202.34644,65333.98222,64678.96487,33032.76801,31793.26716,72356.26993,51348.33075,51949.32845,88639.37124,80204.66014,54615.10627,43661.33357,61840.16078,94750.88866,62416.67022
>sp|O00567|NOP56_HUMAN Nucleolar protein 56 OS=Homo sapiens GN=NOP56 PE=1 SV=4,human,dia,1386768.08,1361068.066,1163554.439,1330315.037,1390185.901,1434906.843,1286947.613,1298567.947,1233858.858,1256342.716,1348359.853,1321037.244,1483878.911,1245167.844,1245172.498,1336757.086
>sp|O00571|DDX3X_HUMAN ATP-dependent RNA helicase DDX3X OS=Homo sapiens GN=DDX3X PE=1 SV=3,human,dia,5357541.169,5591648.229,5434168.233,5182746.796,5106301.887,5374778.531,4824810.999,5558332.025,4854948.277,5161884.068,5346810.946,5606920.755,4677731.377,4768800.176,5230829.887,5852329.231
>sp|O00584|RNT2_HUMAN Ribonuclease T2 OS=Homo sapiens GN=RNASET2 PE=1 SV=2,human,dia,101725.2754,79106.20973,70194.78778,95752.17376,62240.31024,63821.01931,64340.05206,49646.89782,96576.1467,120263.4218,104419.2032,83832.41175,119116.1051,62755.43248,81444.16714,84069.10167
>sp|O00625|PIR_HUMAN Pirin OS=Homo sapiens GN=PIR PE=1 SV=1,human,dia,487126.2891,390085.9848,365743.2852,497261.5106,362727.332,382505.7201,462119.7047,362096.4879,454791.2256,463614.3146,500704.4674,425290.8428,386205.8517,332974.128,459442.9969,393527.7798
>sp|O00629|IMA3_HUMAN Importin subunit alpha-3 OS=Homo sapiens GN=KPNA4 PE=1 SV=1,human,dia,186145.3281,206575.3034,217286.6371,117074.793,192338.911,186386.4113,208756.8618,197763.2795,152368.4618,217818.0823,264255.596,209003.8228,229589.6329,164599.7763,150814.5296,252717.0486
>sp|O00754|MA2B1_HUMAN Lysosomal alpha-mannosidase OS=Homo sapiens GN=MAN2B1 PE=1 SV=3,human,dia,95048.72266,106172.4486,127421.4639,101633.2656,92916.52304,108151.4611,97884.48511,126938.0834,138922.2286,114356.7784,109623.6421,97570.06871,76731.17206,100439.6291,94561.60787,117900.5762
">sp|O00757|F16P2_HUMAN Fructose-1,6-bisphosphatase isozyme 2 OS=Homo sapiens GN=FBP2 PE=1 SV=2",human,dia,595042.3125,651678.7831,237699.4153,403447.229,568242.4138,577978.6539,408784.7046,577453.1265,565364.5046,726416.8128,660502.6109,569089.1697,381426.0836,493578.8151,489926.7484,288892.9671
>sp|O00762|UBE2C_HUMAN Ubiquitin-conjugating enzyme E2 C OS=Homo sapiens GN=UBE2C PE=1 SV=1,human,dia,132861.7773,157861.6115,176983.2969,184947.8366,185507.7648,163110.5652,159671.9543,164520.0852,133441.8279,153711.9084,131967.0147,165918.0745,126316.7137,95144.8988,209479.3245,129412.8092
>sp|O00764|PDXK_HUMAN Pyridoxal kinase OS=Homo sapiens GN=PDXK PE=1 SV=1,human,dia,1423231.336,1239385.123,1373618.806,1433375.014,1365939.118,1599736.349,1458629.492,1354863.218,1249151.945,1448196.268,1252418.48,1342030.713,1378238.289,972200.7403,1278328.52,1312674.617
>sp|O00767|ACOD_HUMAN Acyl-CoA desaturase OS=Homo sapiens GN=SCD PE=1 SV=2,human,dia,218461.3438,182971.7531,222334.5039,312309.8158,245997.575,208388.8762,177039.8437,297263.0288,236719.2762,271293.207,269951.4888,421286.8695,172807.9725,435921.8818,260999.358,306874.1358
>sp|O14519|CDKA1_HUMAN Cyclin-dependent kinase 2-associated protein 1 OS=Homo sapiens GN=CDK2AP1 PE=1 SV=1,human,dia,22354.14942,23331.57365,14865.97153,32512.90237,16385.23049,15210.22015,30009.36844,20502.21404,24167.11158,19190.81447,15707.03501,17073.68423,18059.38652,13403.91958,21190.57783,23216.98711
">sp|O14548|COX7R_HUMAN Cytochrome c oxidase subunit 7A-related protein, mitochondrial OS=Homo sapiens GN=COX7A2L PE=1 SV=2",human,dia,127420.9453,253057.546,133483.0067,164027.9079,177794.1267,229963.9229,172555.3497,171572.8476,103415.9306,133383.1571,131394.8647,287015.2556,211727.2633,141101.3986,220228.6717,174841.6287
">sp|O14561|ACPM_HUMAN Acyl carrier protein, mitochondrial OS=Homo sapiens GN=NDUFAB1 PE=1 SV=3",human,dia,1576663.32,1738953.654,1850310.618,1603212.923,1452517.92,1435047.203,1888245.693,1349709.541,1265785.833,1618749.973,1545055.463,1659482.662,1392936.63,1905001.282,1590154.594,1612202.305
>sp|O14562|UBFD1_HUMAN Ubiquitin domain-containing protein UBFD1 OS=Homo sapiens GN=UBFD1 PE=1 SV=2,human,dia,183009.2656,149250.7572,244662.0334,108641.934,85625.6867,181392.2232,256081.9631,272733.2752,239679.1214,234055.5328,270350.3507,302387.4282,246793.2131,373201.3431,245851.4799,226589.976
>sp|O14579|COPE_HUMAN Coatomer subunit epsilon OS=Homo sapiens GN=COPE PE=1 SV=3,human,dia,370465.7031,479087.5919,379159.1601,349945.7921,357672.5089,488651.9833,349540.4254,460219.2195,455348.4796,607491.7785,622532.8157,471428.3014,417997.966,493184.8989,390269.8411,355733.9931
>sp|O14617|AP3D1_HUMAN AP-3 complex subunit delta-1 OS=Homo sapiens GN=AP3D1 PE=1 SV=1,human,dia,137652.9609,115642.0503,122881.8523,115524.4193,136673.8431,143132.2246,101806.2167,113996.3722,145857.1777,128368.0972,163408.682,148302.9162,128934.5006,111780.0043,122013.094,125677.333
>sp|O14662|STX16_HUMAN Syntaxin-16 OS=Homo sapiens GN=STX16 PE=1 SV=3,human,dia,147205.4023,138436.6072,199046.1961,155217.4242,213875.6061,164337.3374,204559.3294,182355.6989,170990.8793,187025.0388,131815.8022,170751.5893,210753.1059,168879.4932,153339.655,184505.9204
>sp|O14735|CDIPT_HUMAN CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Homo sapiens GN=CDIPT PE=1 SV=1,human,dia,250678.25,206652.5579,273047.423,174555.8311,275806.9773,256503.544,431407.5516,306089.8589,179597.0983,323114.335,227584.0975,170904.609,303379.9026,328806.3972,231703.443,220071.6908
>sp|O14737|PDCD5_HUMAN Programmed cell death protein 5 OS=Homo sapiens GN=PDCD5 PE=1 SV=3,human,dia,816440,812398.3504,909578.4593,652179.2338,742319.2925,1034264.76,925606.9974,837093.6776,810953.987,790153.6375,703342.5744,778667.2254,752720.337,868185.8173,862330.664,893250.8111
>sp|O14744|ANM5_HUMAN Protein arginine N-methyltransferase 5 OS=Homo sapiens GN=PRMT5 PE=1 SV=4,human,dia,558671.5898,582366.9608,560799.6016,582418.1346,483852.344,556484.5769,677447.1649,576453.7549,555539.6781,714497.8151,622881.4063,587786.4418,482482.4453,572604.4714,645848.9626,456287.1716
>sp|O14745|NHRF1_HUMAN Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Homo sapiens GN=SLC9A3R1 PE=1 SV=4,human,dia,3654054.166,3631994.408,3434134.338,3886006.836,3234061.077,3565709.343,3417985.373,3666307.656,3666916.935,3293034.896,3410430.608,4189309.181,4085970.508,3885201.691,3830014.733,4044973.291
>sp|O14773|TPP1_HUMAN Tripeptidyl-peptidase 1 OS=Homo sapiens GN=TPP1 PE=1 SV=2,human,dia,69603.65625,77799.11192,99546.7607,89309.58332,90263.87619,78889.68944,65755.2513,53770.17236,75992.68186,30277.16173,77705.7831,67867.78511,86469.03128,55120.16961,87004.52317,52428.65732
>sp|O14776|TCRG1_HUMAN Transcription elongation regulator 1 OS=Homo sapiens GN=TCERG1 PE=1 SV=2,human,dia,220902.7774,218783.7035,228036.9082,202811.2313,243469.3766,264914.8563,279185.9965,258768.1894,254009.8547,238072.7914,307273.8189,150379.7671,288058.6028,271951.0344,280636.663,206038.9132
>sp|O14818|PSA7_HUMAN Proteasome subunit alpha type-7 OS=Homo sapiens GN=PSMA7 PE=1 SV=1,human,dia,3637772.844,3715417.111,3279123.341,3009877.609,2520745.166,3138540.036,3694760.199,3593213.94,3093504.728,3424644.718,3496914.845,2714212.489,3433579.169,2981258.197,3491155.056,3374089.339
>sp|O14828|SCAM3_HUMAN Secretory carrier-associated membrane protein 3 OS=Homo sapiens GN=SCAMP3 PE=1 SV=3,human,dia,210688.3262,291329.9613,316518.3918,292095.0749,177930.417,245777.6162,229307.3958,565171.3531,260930.6487,256829.9004,260867.4604,239222.5651,238391.7989,246538.0518,236083.9175,255964.7074
>sp|O14907|TX1B3_HUMAN Tax1-binding protein 3 OS=Homo sapiens GN=TAX1BP3 PE=1 SV=2,human,dia,66917.51563,24018.69187,67989.79432,86985.60965,94518.75104,64606.14622,65851.31946,133347.1212,80850.60178,50401.36125,66466.67319,86324.05505,73187.38967,101598.7479,93047.00888,103908.3587
>sp|O14908|GIPC1_HUMAN PDZ domain-containing protein GIPC1 OS=Homo sapiens GN=GIPC1 PE=1 SV=2,human,dia,435965.7734,485600.5345,344340.7633,479040.4539,508585.3419,445032.7184,481997.2394,424486.6269,495459.0261,341671.2317,411900.6452,493565.8842,389641.6669,450470.7098,370420.8447,440719.1961
>sp|O14925|TIM23_HUMAN Mitochondrial import inner membrane translocase subunit Tim23 OS=Homo sapiens GN=TIMM23 PE=1 SV=1;>sp|Q5SRD1|TI23B_HUMAN Putative mitochondrial import inner membrane translocase subunit Tim23B OS=Homo sapiens GN=TIMM23B PE=5 SV=2,human,dia,109800.7969,43904.90491,165879.6821,105261.0676,127364.7799,106233.7381,NA,142659.0618,155579.424,57015.18876,126575.209,113595.185,105140.4944,168649.8259,119913.5442,140792.6237
>sp|O14929|HAT1_HUMAN Histone acetyltransferase type B catalytic subunit OS=Homo sapiens GN=HAT1 PE=1 SV=1,human,dia,1112336.461,1012887.644,1014505.364,1174522.4,946847.2218,1126004.956,1111174.317,1091064.154,959170.9061,1110097.305,1006210.132,1083407.025,956260.6569,1106061.731,976572.7536,1229955.594
